trace,candidate,control,candidate_ipc,control_ipc,ipc_speedup,candidate_cycles,control_cycles,candidate_prefetch_requested,control_prefetch_requested,prefetch_request_reduction,candidate_prefetch_issued,control_prefetch_issued,prefetch_issue_reduction,candidate_dram_read_requests,control_dram_read_requests,dram_read_request_reduction,candidate_l2c_prefetch_misses,control_l2c_prefetch_misses,candidate_llc_prefetch_misses,control_llc_prefetch_misses,useful_prefetch_delta
600.perlbench_s-210B.champsimtrace.xz,raw_stride,official_ip_stride,1.1079456304266866,1.1079456304266866,1.0,180514273,180514273,125506,125506,0.0,80175,80175,0.0,10557,10557,0.0,1273,1273,1258,1258,0
602.gcc_s-734B.champsimtrace.xz,raw_stride,official_ip_stride,0.8330870963966976,0.8330870963966976,1.0,240070942,240070942,38258639,38258639,0.0,11088388,11088388,0.0,1914945,1914945,0.0,1601028,1601028,1580510,1580510,0
603.bwaves_s-3699B.champsimtrace.xz,raw_stride,official_ip_stride,1.3820585513248518,1.3820585513248518,1.0,144711670,144711670,1012296,1012296,0.0,341301,341301,0.0,21084,21084,0.0,3368,3368,3368,3368,0
605.mcf_s-665B.champsimtrace.xz,raw_stride,official_ip_stride,0.42154429632759677,0.42154429632759677,1.0,474445990,474445990,10782358,10782358,0.0,8395986,8395986,0.0,2035125,2035125,0.0,1317997,1317997,1291407,1291407,0
607.cactuBSSN_s-2421B.champsimtrace.xz,raw_stride,official_ip_stride,0.7411725680530937,0.7411725680530937,1.0,269842692,269842692,1390,1390,0.0,1380,1380,0.0,1535445,1535445,0.0,26,26,26,26,0
619.lbm_s-4268B.champsimtrace.xz,raw_stride,official_ip_stride,0.43556583075661304,0.43556583075661304,1.0,459172848,459172848,46299,46299,0.0,7081,7081,0.0,9619049,9619049,0.0,3982,3982,3062,3062,0
620.omnetpp_s-874B.champsimtrace.xz,raw_stride,official_ip_stride,0.41235618534385227,0.41235618534385227,1.0,485017587,485017587,1529898,1529898,0.0,1149390,1149390,0.0,1991259,1991259,0.0,21740,21740,20686,20686,0
621.wrf_s-575B.champsimtrace.xz,raw_stride,official_ip_stride,1.0797958142838455,1.0797958142838455,1.0,185220204,185220204,25532,25532,0.0,4804,4804,0.0,5921,5921,0.0,764,764,764,764,0
623.xalancbmk_s-700B.champsimtrace.xz,raw_stride,official_ip_stride,0.824257792853526,0.824257792853526,1.0,242642537,242642537,4006031,4006031,0.0,656845,656845,0.0,250502,250502,0.0,26672,26672,10342,10342,0
625.x264_s-18B.champsimtrace.xz,raw_stride,official_ip_stride,1.4568401320115665,1.4568401320115665,1.0,137283425,137283425,11722728,11722728,0.0,340775,340775,0.0,112299,112299,0.0,3948,3948,3804,3804,0
627.cam4_s-573B.champsimtrace.xz,raw_stride,official_ip_stride,1.0994000079486619,1.0994000079486619,1.0,181917410,181917410,2127762,2127762,0.0,675023,675023,0.0,1032707,1032707,0.0,8899,8899,5942,5942,0
