trace,config,instructions,cycles,ipc,l1d_load_misses,prefetch_requested,prefetch_issued,useful_prefetch,useless_prefetch,l2c_prefetch_misses,llc_prefetch_misses,dram_read_requests,dram_write_requests,gate_decisions,gate_suppressed,module_issued
600.perlbench_s-210B.champsimtrace.xz,no_l1d_prefetch,200000000,180585223,1.10751033045489,13261,0,0,0,0,0,0,10026,0,,,
600.perlbench_s-210B.champsimtrace.xz,official_ip_stride,200000000,180514273,1.1079456304266866,11347,125506,80175,716,605,1273,1258,10557,2,,,
600.perlbench_s-210B.champsimtrace.xz,raw_stride,200000000,180514273,1.1079456304266866,11347,125506,80175,716,605,1273,1258,10557,2,28087956,0,80175
600.perlbench_s-210B.champsimtrace.xz,regularity_stride,200000000,180546195,1.1077497368471265,12462,37882,7099,372,337,684,681,10335,0,28087791,24909,7099
602.gcc_s-734B.champsimtrace.xz,no_l1d_prefetch,200000004,424100333,0.47158652903014814,7966218,0,0,0,0,0,0,1895706,20413,,,
602.gcc_s-734B.champsimtrace.xz,official_ip_stride,200000004,240070942,0.8330870963966976,3214283,38258639,11088388,1695049,27231,1601028,1580510,1914945,20439,,,
602.gcc_s-734B.champsimtrace.xz,raw_stride,200000004,240070942,0.8330870963966976,3214283,38258639,11088388,1695049,27231,1601028,1580510,1914945,20439,36200528,0,11088388
602.gcc_s-734B.champsimtrace.xz,regularity_stride,200000004,251039613,0.7966870312216423,3408798,23676795,8932156,1604121,21603,1514858,1497872,1910733,20383,36200439,1066967,8932156
603.bwaves_s-3699B.champsimtrace.xz,no_l1d_prefetch,200000001,145196259,1.377445964361933,10564,0,0,0,0,0,0,21080,17533,,,
603.bwaves_s-3699B.champsimtrace.xz,official_ip_stride,200000001,144711670,1.3820585513248518,565,1012296,341301,3365,7,3368,3368,21084,17540,,,
603.bwaves_s-3699B.champsimtrace.xz,raw_stride,200000001,144711670,1.3820585513248518,565,1012296,341301,3365,7,3368,3368,21084,17540,47034297,0,341301
603.bwaves_s-3699B.champsimtrace.xz,regularity_stride,200000001,145092221,1.3784336584109496,7168,886535,260503,1100,3,1102,1102,21082,17536,47034010,30712,260503
605.mcf_s-665B.champsimtrace.xz,no_l1d_prefetch,200000003,629013227,0.31795834239269505,9011119,0,0,0,0,0,0,2027670,35570,,,
605.mcf_s-665B.champsimtrace.xz,official_ip_stride,200000001,474445990,0.42154429632759677,5326054,10782358,8395986,1320943,18366,1317997,1291407,2035125,35620,,,
605.mcf_s-665B.champsimtrace.xz,raw_stride,200000001,474445990,0.42154429632759677,5326054,10782358,8395986,1320943,18366,1317997,1291407,2035125,35620,63048134,0,8395986
605.mcf_s-665B.champsimtrace.xz,regularity_stride,200000003,488726472,0.40922686708895933,5661815,7199570,5910285,1189939,13456,1200886,1187592,2036101,35813,63049453,1020681,5910285
607.cactuBSSN_s-2421B.champsimtrace.xz,no_l1d_prefetch,200000001,269870440,0.7410963609056257,24499399,0,0,0,0,0,0,1535682,193779,,,
607.cactuBSSN_s-2421B.champsimtrace.xz,official_ip_stride,200000001,269842692,0.7411725680530937,24500843,1390,1380,12,14,26,26,1535445,193784,,,
607.cactuBSSN_s-2421B.champsimtrace.xz,raw_stride,200000001,269842692,0.7411725680530937,24500843,1390,1380,12,14,26,26,1535445,193784,55202389,0,1380
607.cactuBSSN_s-2421B.champsimtrace.xz,regularity_stride,200000001,269870440,0.7410963609056257,24499405,199,199,0,5,5,5,1535687,193779,55206198,413,199
619.lbm_s-4268B.champsimtrace.xz,no_l1d_prefetch,200000003,459222438,0.4355187953599079,16838275,0,0,0,0,0,0,9619048,7199830,,,
619.lbm_s-4268B.champsimtrace.xz,official_ip_stride,200000003,459172848,0.43556583075661304,16823169,46299,7081,597,0,3982,3062,9619049,7199895,,,
619.lbm_s-4268B.champsimtrace.xz,raw_stride,200000003,459172848,0.43556583075661304,16823169,46299,7081,597,0,3982,3062,9619049,7199895,48387163,0,7081
619.lbm_s-4268B.champsimtrace.xz,regularity_stride,200000003,459164823,0.43557344330796005,16826386,50942,7014,535,0,3999,3011,9619047,7199854,48336386,3,7014
620.omnetpp_s-874B.champsimtrace.xz,no_l1d_prefetch,200000002,486955501,0.4107151507463923,4792768,0,0,0,0,0,0,1983886,874126,,,
620.omnetpp_s-874B.champsimtrace.xz,official_ip_stride,200000002,485017587,0.41235618534385227,4744744,1529898,1149390,16352,10760,21740,20686,1991259,874530,,,
620.omnetpp_s-874B.champsimtrace.xz,raw_stride,200000002,485017587,0.41235618534385227,4744744,1529898,1149390,16352,10760,21740,20686,1991259,874530,48739856,0,1149390
620.omnetpp_s-874B.champsimtrace.xz,regularity_stride,200000002,486660364,0.41096423048744524,4784437,47178,45928,2379,1004,2798,2602,1984514,874204,48739673,502630,45928
621.wrf_s-575B.champsimtrace.xz,no_l1d_prefetch,200000001,185219563,1.0797995511953562,7914,0,0,0,0,0,0,5523,0,,,
621.wrf_s-575B.champsimtrace.xz,official_ip_stride,200000001,185220204,1.0797958142838455,6101,25532,4804,366,356,764,764,5921,0,,,
621.wrf_s-575B.champsimtrace.xz,raw_stride,200000001,185220204,1.0797958142838455,6101,25532,4804,366,356,764,764,5921,0,29903229,0,4804
621.wrf_s-575B.champsimtrace.xz,regularity_stride,200000001,185217931,1.0798090655704387,6167,16593,2863,325,325,692,692,5890,0,29903229,787,2863
623.xalancbmk_s-700B.champsimtrace.xz,no_l1d_prefetch,200000002,243454501,0.8215087467206038,16070291,0,0,0,0,0,0,245895,225636,,,
623.xalancbmk_s-700B.champsimtrace.xz,official_ip_stride,200000002,242642537,0.824257792853526,16029917,4006031,656845,37469,208494,26672,10342,250502,226402,,,
