instructions,cycles,ipc,cycles_per_instruction,hit_rate,prefetch_issued,prefetch_used,prefetch_accuracy,mem_cycles,arith_cycles,wall_seconds,run,seed,workload,config,base_cycles,speedup
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.0027820226969197392,0,0,kv_cache_append,baseline,65908,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.00334634049795568,0,0,kv_cache_append,stride,65908,1.965173832667422
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,1575,4,0.0025396825396825397,64325,0,0.0034629415604285896,0,0,kv_cache_append,nextline,65908,1.0
1583,23866,0.06632866839855862,15.076437144662034,0.6860391661402401,1568,1080,0.6887755102040817,22283,0,0.005895527225220576,0,0,kv_cache_append,berti,65908,2.7615855191485794
1583,50191,0.0315395190372776,31.70625394819962,0.25963360707517374,695,404,0.581294964028777,48608,0,0.090016850939719,0,0,kv_cache_append,nn,65908,1.3131437907194516
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.0020357687899377197,0,0,embedding_lookup,baseline,17143,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.002496422384865582,0,0,embedding_lookup,stride,17143,1.881984850148205
2000,8524,0.2346316283435007,4.262,0.942,333,222,0.6666666666666666,6524,0,0.0024335817142855376,0,0,embedding_lookup,nextline,17143,2.0111450023463164
2000,9031,0.22145941756173182,4.5155,0.9355,341,209,0.6129032258064516,7031,0,0.0052127128292340785,0,0,embedding_lookup,berti,17143,1.8982393976303842
2000,10708,0.1867762420620097,5.354,0.914,239,165,0.6903765690376569,8708,0,0.11451555148232728,0,0,embedding_lookup,nn,17143,1.6009525588345161
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.002047912566922605,0,0,agent_rag,baseline,17026,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.0024630376719869673,0,0,agent_rag,stride,17026,2.1446025947852374
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.002420229429844767,0,0,agent_rag,nextline,17026,2.1446025947852374
2000,7978,0.25068939583855604,3.989,0.949,337,236,0.7002967359050445,5978,0,0.0032003496889956295,0,0,agent_rag,berti,17026,2.1341188267736273
2000,8758,0.2283626398721169,4.379,0.939,296,216,0.7297297297297297,6758,0,0.11119672286440618,0,0,agent_rag,nn,17026,1.9440511532313314
2000,13750,0.14545454545454545,6.875,0.875,0,0,0.0,11750,0,0.0019810364756267518,0,0,token_stream,baseline,13750,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.002356651530135423,0,0,token_stream,stride,13750,3.4043079970289676
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.002310219802893698,0,0,token_stream,nextline,13750,3.4043079970289676
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.0030003559368196875,0,0,token_stream,berti,13750,3.4043079970289676
2000,4312,0.46382189239332094,2.156,0.996,243,242,0.9958847736625515,2312,0,0.11073885014047846,0,0,token_stream,nn,13750,3.188775510204082
589,8237,0.07150661648658492,13.98471986417657,0.6926994906621392,0,0,0.0,7648,0,0.0006492411775980145,0,0,real_bsearch,baseline,8237,1.0
589,10265,0.057379444715051145,17.427843803056028,0.6044142614601019,262,23,0.08778625954198473,9676,0,0.0009059857111424208,0,0,real_bsearch,stride,8237,0.8024354603019971
589,8393,0.07017752889312523,14.249575551782682,0.6859083191850595,184,56,0.30434782608695654,7804,0,0.0008181841112673283,0,0,real_bsearch,nextline,8237,0.9814130823305135
589,5741,0.10259536666086047,9.747028862478778,0.801358234295416,248,107,0.4314516129032258,5152,0,0.0011049337917938828,0,0,real_bsearch,berti,8237,1.4347674621146143
589,8237,0.07150661648658492,13.98471986417657,0.6926994906621392,2,0,0.0,7648,0,0.030722319294000044,0,0,real_bsearch,nn,8237,1.0
99328,401136,0.24761676837780702,4.038498711340206,0.9561855670103093,0,0,0.0,301808,0,0.10801060995436274,0,0,real_matmul,baseline,401136,1.0
99328,242484,0.4096270269378598,2.441245167525773,0.9971407860824743,10113,4068,0.40225452388015426,143156,0,0.13290030937059782,0,0,real_matmul,stride,401136,1.6542782204186668
99328,232734,0.42678766316911154,2.3430855347938144,0.999657699742268,4351,4318,0.9924155366582394,133406,0,0.12541673556552269,0,0,real_matmul,nextline,401136,1.7235814277243549
99328,386979,0.25667542683194694,3.895970924613402,0.9598401256443299,3815,314,0.08230668414154653,287651,0,0.2053637366334442,0,0,real_matmul,berti,401136,1.0365833804935152
99328,401097,0.2476408449826351,4.038106072809279,0.9561956346649485,2,1,0.5,301769,0,5.279440542857628,0,0,real_matmul,nn,401136,1.0000972333375717
22376,78834,0.2838369231549839,3.523149803360744,0.9714873078298176,0,0,0.0,56458,0,0.02466348046436906,0,0,real_mergesort,baseline,78834,1.0
22376,68655,0.32591945233413444,3.0682427601001074,0.9831515909903468,1081,483,0.44680851063829785,46279,0,0.030522354471031576,0,0,real_mergesort,stride,78834,1.148263054402447
22376,55161,0.40564891862003954,2.4651859134787273,0.9986145870575617,798,771,0.9661654135338346,32785,0,0.029377287020906806,0,0,real_mergesort,nextline,78834,1.4291619078696904
22376,64560,0.34659231722428746,2.885234179478012,0.9878441186986057,1222,606,0.4959083469721768,42184,0,0.04134785497444682,0,0,real_mergesort,berti,78834,1.221096654275093
22376,78834,0.2838369231549839,3.523149803360744,0.9714873078298176,4,0,0.0,56458,0,1.1925627332238946,0,0,real_mergesort,nn,78834,1.0
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.0026777215825859457,1,1,kv_cache_append,baseline,65908,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.003143884474411607,1,1,kv_cache_append,stride,65908,1.965173832667422
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,1575,4,0.0025396825396825397,64325,0,0.0035174502700101584,1,1,kv_cache_append,nextline,65908,1.0
1583,23866,0.06632866839855862,15.076437144662034,0.6860391661402401,1568,1080,0.6887755102040817,22283,0,0.005904069577809423,1,1,kv_cache_append,berti,65908,2.7615855191485794
1583,49294,0.03211344179819045,31.1396083385976,0.27416298168035375,655,427,0.6519083969465649,47711,0,0.0893308658269234,1,1,kv_cache_append,nn,65908,1.3370389905465168
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.002048858819762245,1,1,embedding_lookup,baseline,17143,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.002534742990974337,1,1,embedding_lookup,stride,17143,1.881984850148205
2000,8524,0.2346316283435007,4.262,0.942,333,222,0.6666666666666666,6524,0,0.0024470116768497974,1,1,embedding_lookup,nextline,17143,2.0111450023463164
2000,9031,0.22145941756173182,4.5155,0.9355,341,209,0.6129032258064516,7031,0,0.005073522042948753,1,1,embedding_lookup,berti,17143,1.8982393976303842
2000,10630,0.18814675446848542,5.315,0.915,235,167,0.7106382978723405,8630,0,0.11374539873213507,1,1,embedding_lookup,nn,17143,1.6126999059266227
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.0020084704156033695,1,1,agent_rag,baseline,17026,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.0024783771950751543,1,1,agent_rag,stride,17026,2.1446025947852374
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.0024400666588917375,1,1,agent_rag,nextline,17026,2.1446025947852374
2000,7978,0.25068939583855604,3.989,0.949,337,236,0.7002967359050445,5978,0,0.003197825251845643,1,1,agent_rag,berti,17026,2.1341188267736273
