workload,config,runs,cycles_n,cycles_mean,cycles_std,cycles_ci95,mem_cycles_mean,arith_cycles_mean,hit_rate_mean,hit_rate_std,hit_rate_ci95,ipc_mean,ipc_std,ipc_ci95,prefetch_accuracy_mean,prefetch_accuracy_std,prefetch_accuracy_ci95,speedup_mean,speedup_std,speedup_ci95,speedup_min,speedup_max
arithmetic_mix,baseline,8,8,9996.0,0.0,0.0,0.0,7996.0,0.0,0.0,0.0,0.2000800320128051,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
arithmetic_mix,berti,8,8,9996.0,0.0,0.0,0.0,7996.0,0.0,0.0,0.0,0.2000800320128051,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
arithmetic_mix,nextline,8,8,9996.0,0.0,0.0,0.0,7996.0,0.0,0.0,0.0,0.2000800320128051,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
arithmetic_mix,nn,8,8,9996.0,0.0,0.0,0.0,7996.0,0.0,0.0,0.0,0.2000800320128051,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
arithmetic_mix,stride,8,8,9996.0,0.0,0.0,0.0,7996.0,0.0,0.0,0.0,0.2000800320128051,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
mixed_read_write,baseline,8,8,43984.0,0.0,0.0,41984.0,0.0,0.5,0.0,0.0,0.045471080392870136,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
mixed_read_write,berti,8,8,5062.0,0.0,0.0,3062.0,0.0,0.999,0.0,0.0,0.3951007506914263,0.0,0.0,0.998998998998999,0.0,0.0,8.689055709205848,0.0,0.0,8.689055709205848,8.689055709205848
mixed_read_write,nextline,8,8,5023.0,0.0,0.0,3023.0,0.0,0.9995,0.0,0.0,0.3981684252438782,0.0,0.0,0.999,0.0,0.0,8.756520007963369,0.0,0.0,8.756520007963369,8.756520007963369
mixed_read_write,nn,8,8,43867.0,0.0,0.0,41867.0,0.0,0.5015,0.0,0.0,0.04559235872067841,0.0,0.0,1.0,0.0,0.0,1.0026671529851596,0.0,0.0,1.0026671529851596,1.0026671529851596
mixed_read_write,stride,8,8,5062.0,0.0,0.0,3062.0,0.0,0.999,0.0,0.0,0.3951007506914263,0.0,0.0,0.998998998998999,0.0,0.0,8.689055709205848,0.0,0.0,8.689055709205848,8.689055709205848
phased_switch,baseline,8,8,43819.0,0.0,0.0,41819.0,0.0,0.4895,0.0,0.0,0.04564230128483078,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
phased_switch,berti,8,8,39802.0,0.0,0.0,37802.0,0.0,0.541,0.0,0.0,0.050248731219536706,0.0,0.0,0.14801110083256244,0.0,0.0,1.1009245766544395,0.0,0.0,1.1009245766544395,1.1009245766544395
phased_switch,nextline,8,8,39139.0,0.0,0.0,37139.0,0.0,0.5495,0.0,0.0,0.05109992590510744,0.0,0.0,0.17058823529411765,0.0,0.0,1.1195738266179514,0.0,0.0,1.1195738266179514,1.1195738266179514
phased_switch,nn,8,8,39743.5,139.84174729212407,96.90538684717171,37743.5,0.0,0.54175,0.001792842914001614,0.0012423767544509356,0.05032323950492054,0.00017709276470687115,0.00012271902492683623,0.6326967791809478,0.013096294052121187,0.00907526876601458,1.1025570159330567,0.0038800139283452595,0.002688712476634564,1.0976978381221973,1.1074353012535383
phased_switch,stride,8,8,39763.0,0.0,0.0,37763.0,0.0,0.5415,0.0,0.0,0.050298015743278926,0.0,0.0,0.15370018975332067,0.0,0.0,1.1020043759273697,0.0,0.0,1.1020043759273697,1.1020043759273697
random_read,baseline,8,8,74083.0,0.0,0.0,72083.0,0.0,0.1015,0.0,0.0,0.026996746891999514,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
random_read,berti,8,8,75682.0,0.0,0.0,73682.0,0.0,0.081,0.0,0.0,0.026426362939668612,0.0,0.0,0.037211740041928724,0.0,0.0,0.9788721228297349,0.0,0.0,0.9788721228297349,0.9788721228297349
random_read,nextline,8,8,74356.0,0.0,0.0,72356.0,0.0,0.098,0.0,0.0,0.026897627629243102,0.0,0.0,0.05592841163310962,0.0,0.0,0.9963284738286083,0.0,0.0,0.9963284738286083,0.9963284738286083
random_read,nn,8,8,74083.0,0.0,0.0,72083.0,0.0,0.1015,0.0,0.0,0.026996746891999514,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
random_read,stride,8,8,75604.0,0.0,0.0,73604.0,0.0,0.082,0.0,0.0,0.026453626792233214,0.0,0.0,0.04075067024128686,0.0,0.0,0.9798820168245066,0.0,0.0,0.9798820168245066,0.9798820168245066
sequential_read,baseline,8,8,13750.0,0.0,0.0,11750.0,0.0,0.875,0.0,0.0,0.14545454545454545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
sequential_read,berti,8,8,4039.0,0.0,0.0,2039.0,0.0,0.9995,0.0,0.0,0.49517207229512256,0.0,0.0,0.996,0.0,0.0,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
sequential_read,nextline,8,8,4039.0,0.0,0.0,2039.0,0.0,0.9995,0.0,0.0,0.49517207229512256,0.0,0.0,0.996,0.0,0.0,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
sequential_read,nn,8,8,4170.625,41.36574669941303,28.664999999999996,2170.625,0.0,0.9978125,0.0005303300858899177,0.00036750000000000487,0.47958573105115193,0.004758832388211507,0.003297702599189839,0.995945195409348,1.7436348951683806e-05,1.2082773371213155e-05,3.2971519009766697,0.032716972668954306,0.022671705369430275,3.247520075578649,3.3398105416565462
sequential_read,stride,8,8,4039.0,0.0,0.0,2039.0,0.0,0.9995,0.0,0.0,0.49517207229512256,0.0,0.0,0.996,0.0,0.0,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
strided_read,baseline,8,8,82000.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
strided_read,berti,8,8,4078.0,0.0,0.0,2078.0,0.0,0.999,0.0,0.0,0.4904364884747425,0.0,0.0,0.9994997498749375,0.0,0.0,20.10789602746444,0.0,0.0,20.10789602746444,20.10789602746444
strided_read,nextline,8,8,4039.0,0.0,0.0,2039.0,0.0,0.9995,0.0,0.0,0.49517207229512256,0.0,0.0,0.9995,0.0,0.0,20.302054964100027,0.0,0.0,20.302054964100027,20.302054964100027
strided_read,nn,8,8,9362.5,1569.3043954932025,1087.4724642031172,7362.5,0.0,0.9312499999999999,0.020119287121707723,0.013941954669270732,0.21948052764405634,0.040419857183583735,0.028009532006921765,0.999596858821927,0.0002490734772542955,0.0001725991138846211,8.99870163340631,1.6572141445269328,1.1483908122837923,7.311636201515827,12.114049342591224
strided_read,stride,8,8,4117.0,0.0,0.0,2117.0,0.0,0.9985,0.0,0.0,0.48579062424095215,0.0,0.0,0.9994994994994995,0.0,0.0,19.91741559387904,0.0,0.0,19.91741559387904,19.91741559387904
