label,seed,workload,config,cycles,hit_rate,ipc,mem_cycles,prefetch_issued,prefetch_used
feat_full,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_full,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_full,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
feat_full,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_full,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_full,0,strided_read,nn,7549,0.9545,0.26493575307987816,5549,1910,1909
feat_full,0,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_full,0,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_full,0,mixed_read_write,nn,6466,0.981,0.30931023816888337,4466,963,962
feat_full,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_full,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_full,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_full,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_full,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_full,1,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
feat_full,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_full,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_full,1,strided_read,nn,9304,0.932,0.21496130696474636,7304,1865,1864
feat_full,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_full,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_full,1,mixed_read_write,nn,7285,0.9705,0.27453671928620454,5285,942,941
feat_full,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_full,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_full,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_full,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_full,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_full,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
feat_full,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_full,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_full,2,strided_read,nn,11215,0.9075,0.17833259028087384,9215,1816,1815
feat_full,2,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_full,2,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_full,2,mixed_read_write,nn,8416,0.956,0.2376425855513308,6416,912,912
feat_full,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_full,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_full,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_full,3,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_full,3,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_full,3,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
feat_full,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_full,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_full,3,strided_read,nn,10084,0.922,0.19833399444664815,8084,1845,1844
feat_full,3,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_full,3,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_full,3,mixed_read_write,nn,6778,0.977,0.29507229271171437,4778,955,954
feat_full,3,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_full,3,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_full,3,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_full,4,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_full,4,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_full,4,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
feat_full,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_full,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_full,4,strided_read,nn,11059,0.9095,0.18084817795460711,9059,1820,1819
feat_full,4,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_full,4,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_full,4,mixed_read_write,nn,6817,0.9765,0.29338418659234267,4817,954,953
feat_full,4,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_full,4,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_full,4,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_opcode,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_opcode,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_opcode,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,251,247
feat_no_opcode,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_no_opcode,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_no_opcode,0,strided_read,nn,10162,0.921,0.19681165124975397,8162,1843,1842
feat_no_opcode,0,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_opcode,0,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_opcode,0,mixed_read_write,nn,6583,0.9795,0.3038128512836093,4583,960,959
feat_no_opcode,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_no_opcode,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_no_opcode,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_opcode,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_opcode,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_opcode,1,sequential_read,nn,4195,0.9975,0.4767580452920143,2195,246,245
feat_no_opcode,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_no_opcode,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_no_opcode,1,strided_read,nn,9187,0.9335,0.21769892239033417,7187,1868,1867
feat_no_opcode,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_opcode,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_opcode,1,mixed_read_write,nn,8182,0.959,0.24443901246638963,6182,918,918
feat_no_opcode,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_no_opcode,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_no_opcode,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_opcode,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_opcode,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_opcode,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
feat_no_opcode,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
feat_no_opcode,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
feat_no_opcode,2,strided_read,nn,8836,0.938,0.22634676324128564,6836,1877,1876
feat_no_opcode,2,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
feat_no_opcode,2,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
feat_no_opcode,2,mixed_read_write,nn,5959,0.9875,0.33562678301728477,3959,976,975
feat_no_opcode,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
feat_no_opcode,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
feat_no_opcode,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
feat_no_opcode,3,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
feat_no_opcode,3,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
feat_no_opcode,3,sequential_read,nn,4234,0.997,0.4723665564478035,2234,249,244
