label,workload,config,speedup
mean_cap64,agent_rag,baseline,1.0
mean_cap64,agent_rag,nn,1.838875788326528
mean_cap64,agent_rag,stride,2.1446025947852374
mean_cap64,embedding_lookup,baseline,1.0
mean_cap64,embedding_lookup,nn,1.0045707588631703
mean_cap64,embedding_lookup,stride,1.881984850148205
mean_cap64,kv_cache_append,baseline,1.0
mean_cap64,kv_cache_append,nn,1.0029674493631398
mean_cap64,kv_cache_append,stride,1.965173832667422
mean_cap64,token_stream,baseline,1.0
mean_cap64,token_stream,nn,3.2263317678418524
mean_cap64,token_stream,stride,3.4043079970289676
median_cap16,agent_rag,baseline,1.0
median_cap16,agent_rag,nn,1.9517480899993611
median_cap16,agent_rag,stride,2.1446025947852374
median_cap16,embedding_lookup,baseline,1.0
median_cap16,embedding_lookup,nn,1.637429219509268
median_cap16,embedding_lookup,stride,1.881984850148205
median_cap16,kv_cache_append,baseline,1.0
median_cap16,kv_cache_append,nn,1.3262748943302
median_cap16,kv_cache_append,stride,1.965173832667422
median_cap16,token_stream,baseline,1.0
median_cap16,token_stream,nn,3.259913275095882
median_cap16,token_stream,stride,3.4043079970289676
median_cap64,agent_rag,baseline,1.0
median_cap64,agent_rag,nn,1.912596637507394
median_cap64,agent_rag,stride,2.1446025947852374
median_cap64,embedding_lookup,baseline,1.0
median_cap64,embedding_lookup,nn,1.520196928200543
median_cap64,embedding_lookup,stride,1.881984850148205
median_cap64,kv_cache_append,baseline,1.0
median_cap64,kv_cache_append,nn,1.020850628442817
median_cap64,kv_cache_append,stride,1.965173832667422
median_cap64,token_stream,baseline,1.0
median_cap64,token_stream,nn,3.2525013144201793
median_cap64,token_stream,stride,3.4043079970289676
