label,seed,workload,config,cycles,hit_rate
mean_cap64,0,kv_cache_append,baseline,65908,0.00505369551484523
mean_cap64,0,kv_cache_append,stride,33538,0.5293746051800379
mean_cap64,0,kv_cache_append,nn,65713,0.0082122552116235
mean_cap64,0,embedding_lookup,baseline,17143,0.8315
mean_cap64,0,embedding_lookup,stride,9109,0.9345
mean_cap64,0,embedding_lookup,nn,17065,0.8325
mean_cap64,0,agent_rag,baseline,17026,0.833
mean_cap64,0,agent_rag,stride,7939,0.9495
mean_cap64,0,agent_rag,nn,9148,0.934
mean_cap64,0,token_stream,baseline,13750,0.875
mean_cap64,0,token_stream,stride,4039,0.9995
mean_cap64,0,token_stream,nn,4273,0.9965
mean_cap64,1,kv_cache_append,baseline,65908,0.00505369551484523
mean_cap64,1,kv_cache_append,stride,33538,0.5293746051800379
mean_cap64,1,kv_cache_append,nn,65713,0.0082122552116235
mean_cap64,1,embedding_lookup,baseline,17143,0.8315
mean_cap64,1,embedding_lookup,stride,9109,0.9345
mean_cap64,1,embedding_lookup,nn,17065,0.8325
mean_cap64,1,agent_rag,baseline,17026,0.833
mean_cap64,1,agent_rag,stride,7939,0.9495
mean_cap64,1,agent_rag,nn,9382,0.931
mean_cap64,1,token_stream,baseline,13750,0.875
mean_cap64,1,token_stream,stride,4039,0.9995
mean_cap64,1,token_stream,nn,4312,0.996
mean_cap64,2,kv_cache_append,baseline,65908,0.00505369551484523
mean_cap64,2,kv_cache_append,stride,33538,0.5293746051800379
mean_cap64,2,kv_cache_append,nn,65713,0.0082122552116235
mean_cap64,2,embedding_lookup,baseline,17143,0.8315
mean_cap64,2,embedding_lookup,stride,9109,0.9345
mean_cap64,2,embedding_lookup,nn,17065,0.8325
mean_cap64,2,agent_rag,baseline,17026,0.833
mean_cap64,2,agent_rag,stride,7939,0.9495
mean_cap64,2,agent_rag,nn,9343,0.9315
mean_cap64,2,token_stream,baseline,13750,0.875
mean_cap64,2,token_stream,stride,4039,0.9995
mean_cap64,2,token_stream,nn,4234,0.997
mean_cap64,3,kv_cache_append,baseline,65908,0.00505369551484523
mean_cap64,3,kv_cache_append,stride,33538,0.5293746051800379
mean_cap64,3,kv_cache_append,nn,65713,0.0082122552116235
mean_cap64,3,embedding_lookup,baseline,17143,0.8315
mean_cap64,3,embedding_lookup,stride,9109,0.9345
mean_cap64,3,embedding_lookup,nn,17065,0.8325
mean_cap64,3,agent_rag,baseline,17026,0.833
mean_cap64,3,agent_rag,stride,7939,0.9495
mean_cap64,3,agent_rag,nn,9226,0.933
mean_cap64,3,token_stream,baseline,13750,0.875
mean_cap64,3,token_stream,stride,4039,0.9995
mean_cap64,3,token_stream,nn,4351,0.9955
mean_cap64,4,kv_cache_append,baseline,65908,0.00505369551484523
mean_cap64,4,kv_cache_append,stride,33538,0.5293746051800379
mean_cap64,4,kv_cache_append,nn,65713,0.0082122552116235
mean_cap64,4,embedding_lookup,baseline,17143,0.8315
mean_cap64,4,embedding_lookup,stride,9109,0.9345
mean_cap64,4,embedding_lookup,nn,17065,0.8325
mean_cap64,4,agent_rag,baseline,17026,0.833
mean_cap64,4,agent_rag,stride,7939,0.9495
mean_cap64,4,agent_rag,nn,9265,0.9325
mean_cap64,4,token_stream,baseline,13750,0.875
mean_cap64,4,token_stream,stride,4039,0.9995
mean_cap64,4,token_stream,nn,4273,0.9965
mean_cap64,5,kv_cache_append,baseline,65908,0.00505369551484523
mean_cap64,5,kv_cache_append,stride,33538,0.5293746051800379
mean_cap64,5,kv_cache_append,nn,65713,0.0082122552116235
mean_cap64,5,embedding_lookup,baseline,17143,0.8315
mean_cap64,5,embedding_lookup,stride,9109,0.9345
