label,workload,baseline_cycles,baseline_hit,stride_cycles,stride_hit,stride_speedup,nn_cycles,nn_hit,nn_speedup
l1_16,sequential_read,13750.0,0.875,4039.0,0.9995,3.4043079970289676,4117.0,0.9985,3.3398105416565462
l1_16,strided_read,82000.0,0.0,4117.0,0.9985,19.91741559387904,8426.5,0.94325,9.731205126683676
l1_16,random_read,78568.0,0.044,78022.0,0.051,1.0069980261977391,78568.0,0.044,1.0
l1_16,mixed_read_write,43984.0,0.5,5062.0,0.999,8.689055709205848,6875.5,0.97575,6.397207475819941
l1_64,sequential_read,13750.0,0.875,4039.0,0.9995,3.4043079970289676,4117.0,0.9985,3.3398105416565462
l1_64,strided_read,82000.0,0.0,4117.0,0.9985,19.91741559387904,8426.5,0.94325,9.731205126683676
l1_64,random_read,65386.0,0.213,68818.0,0.169,0.9501293266296609,65425.0,0.2125,0.9994038975926633
l1_64,mixed_read_write,43984.0,0.5,5062.0,0.999,8.689055709205848,6875.5,0.97575,6.397207475819941
l1_32_lat20,sequential_read,8750.0,0.875,4019.0,0.9995,2.1771584971385916,4057.0,0.9985,2.156766083312793
l1_32_lat20,strided_read,42000.0,0.0,4057.0,0.9985,10.352477199901404,6156.5,0.94325,6.822057987492894
l1_32_lat20,random_read,38143.0,0.1015,38884.0,0.082,0.9809433185886226,38143.0,0.1015,1.0
l1_32_lat20,mixed_read_write,23984.0,0.5,5022.0,0.999,4.7757865392274,5905.5,0.97575,4.061298789264245
l1_32_lat80,sequential_read,23750.0,0.875,4079.0,0.9995,5.822505516057857,4237.0,0.9985,5.605381165919282
l1_32_lat80,strided_read,162000.0,0.0,4237.0,0.9985,38.23459995279679,12966.5,0.94325,12.493733852620213
l1_32_lat80,random_read,145963.0,0.1015,149044.0,0.082,0.9793282520597945,145963.0,0.1015,1.0
l1_32_lat80,mixed_read_write,83984.0,0.5,5142.0,0.999,16.332944379618827,8815.5,0.97575,9.526856105722874
line_4,sequential_read,23500.0,0.75,4039.0,0.9995,5.81827184946769,4253.5,0.99675,5.524861878453039
line_4,strided_read,82000.0,0.0,4117.0,0.9985,19.91741559387904,8641.0,0.9405,9.48964240249971
line_4,random_read,78568.0,0.044,79231.0,0.0355,0.9916320632075829,78568.0,0.044,1.0
line_4,mixed_read_write,43984.0,0.5,5062.0,0.999,8.689055709205848,6875.5,0.97575,6.397207475819941
line_16,sequential_read,8875.0,0.9375,4039.0,0.9995,2.1973260708096065,4058.5,0.99925,2.1867685105334482
line_16,strided_read,43000.0,0.5,4078.0,0.999,10.544384502206965,6223.0,0.9715,6.909850554394986
line_16,random_read,65464.0,0.212,66946.0,0.193,0.977862755056314,65464.0,0.212,1.0
line_16,mixed_read_write,24484.0,0.75,5023.0,0.9995,4.874377861835557,5900.5,0.9882500000000001,4.149478857723921
