label,seed,workload,config,cycles,hit_rate,ipc,mem_cycles,prefetch_issued,prefetch_used
l1_16,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
l1_16,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
l1_16,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
l1_16,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
l1_16,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
l1_16,0,strided_read,nn,7549,0.9545,0.26493575307987816,5549,1910,1909
l1_16,0,random_read,baseline,78568,0.044,0.025455656246818042,76568,0,0
l1_16,0,random_read,stride,78022,0.051,0.025633795596113916,76022,1929,51
l1_16,0,random_read,nn,78568,0.044,0.025455656246818042,76568,7,0
l1_16,0,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
l1_16,0,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
l1_16,0,mixed_read_write,nn,6466,0.981,0.30931023816888337,4466,963,962
l1_16,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
l1_16,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
l1_16,1,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
l1_16,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
l1_16,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
l1_16,1,strided_read,nn,9304,0.932,0.21496130696474636,7304,1865,1864
l1_16,1,random_read,baseline,78568,0.044,0.025455656246818042,76568,0,0
l1_16,1,random_read,stride,78022,0.051,0.025633795596113916,76022,1929,51
l1_16,1,random_read,nn,78568,0.044,0.025455656246818042,76568,7,0
l1_16,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
l1_16,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
l1_16,1,mixed_read_write,nn,7285,0.9705,0.27453671928620454,5285,942,941
l1_64,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
l1_64,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
l1_64,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
l1_64,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
l1_64,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
l1_64,0,strided_read,nn,7549,0.9545,0.26493575307987816,5549,1910,1909
l1_64,0,random_read,baseline,65386,0.213,0.030587587556969383,63386,0,0
l1_64,0,random_read,stride,68818,0.169,0.029062163968729113,66818,1748,129
l1_64,0,random_read,nn,65425,0.2125,0.030569354222392053,63425,7,0
l1_64,0,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
l1_64,0,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
l1_64,0,mixed_read_write,nn,6466,0.981,0.30931023816888337,4466,963,962
l1_64,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
l1_64,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
l1_64,1,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
l1_64,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
l1_64,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
l1_64,1,strided_read,nn,9304,0.932,0.21496130696474636,7304,1865,1864
l1_64,1,random_read,baseline,65386,0.213,0.030587587556969383,63386,0,0
l1_64,1,random_read,stride,68818,0.169,0.029062163968729113,66818,1748,129
l1_64,1,random_read,nn,65425,0.2125,0.030569354222392053,63425,7,0
l1_64,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0
l1_64,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998
l1_64,1,mixed_read_write,nn,7285,0.9705,0.27453671928620454,5285,942,941
l1_32_lat20,0,sequential_read,baseline,8750,0.875,0.22857142857142856,6750,0,0
