label,seed,workload,config,cycles,hit_rate,ipc,mem_cycles,prefetch_issued,prefetch_used,wall_ms
numpy,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,6.7
numpy,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,7.59
numpy,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247,683.0
numpy,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0,9.43
numpy,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997,11.79
numpy,0,strided_read,nn,7549,0.9545,0.26493575307987816,5549,1910,1909,914.33
numpy,0,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0,11.14
numpy,0,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998,12.62
numpy,0,mixed_read_write,nn,6466,0.981,0.30931023816888337,4466,963,962,750.68
numpy,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0,15.34
numpy,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76,17.45
numpy,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0,743.0
numpy,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,5.68
numpy,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,9.12
numpy,1,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247,829.73
numpy,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0,10.11
numpy,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997,9.87
numpy,1,strided_read,nn,9304,0.932,0.21496130696474636,7304,1865,1864,862.62
numpy,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0,14.2
numpy,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998,15.63
numpy,1,mixed_read_write,nn,7285,0.9705,0.27453671928620454,5285,942,941,723.93
numpy,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0,4.93
numpy,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76,8.62
numpy,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0,593.88
numpy,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,7.54
numpy,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,6.84
numpy,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246,568.68
numpy,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0,5.34
numpy,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997,9.99
numpy,2,strided_read,nn,11215,0.9075,0.17833259028087384,9215,1816,1815,665.13
numpy,2,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0,6.46
numpy,2,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998,9.59
numpy,2,mixed_read_write,nn,8416,0.956,0.2376425855513308,6416,912,912,699.98
numpy,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0,10.56
numpy,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76,9.92
numpy,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0,580.6
numpy,3,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,4.68
numpy,3,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,6.61
numpy,3,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246,717.65
numpy,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0,9.64
numpy,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997,9.15
numpy,3,strided_read,nn,10084,0.922,0.19833399444664815,8084,1845,1844,951.08
numpy,3,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0,9.59
numpy,3,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998,22.54
numpy,3,mixed_read_write,nn,6778,0.977,0.29507229271171437,4778,955,954,546.95
numpy,3,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0,5.07
numpy,3,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76,14.25
numpy,3,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0,544.62
numpy,4,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,4.76
numpy,4,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,5.73
numpy,4,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247,550.73
numpy,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0,8.37
numpy,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997,8.9
numpy,4,strided_read,nn,11059,0.9095,0.18084817795460711,9059,1820,1819,516.79
numpy,4,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0,8.7
numpy,4,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998,11.51
numpy,4,mixed_read_write,nn,6817,0.9765,0.29338418659234267,4817,954,953,568.58
numpy,4,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0,9.1
numpy,4,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76,11.21
numpy,4,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0,534.7
sklearn,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,4.93
sklearn,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,6.95
sklearn,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247,4077.13
sklearn,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0,5.49
sklearn,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997,7.11
sklearn,0,strided_read,nn,7627,0.9535,0.2622263012980202,5627,1908,1907,3399.36
sklearn,0,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0,6.8
sklearn,0,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998,7.99
sklearn,0,mixed_read_write,nn,6700,0.978,0.29850746268656714,4700,957,956,3840.27
sklearn,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0,9.39
sklearn,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76,15.07
sklearn,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0,4684.12
sklearn,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,6.53
sklearn,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,11.2
sklearn,1,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247,5944.5
sklearn,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0,7.22
sklearn,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997,9.61
sklearn,1,strided_read,nn,7705,0.9525,0.25957170668397145,5705,1906,1905,4760.44
sklearn,1,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0,10.59
sklearn,1,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998,16.46
sklearn,1,mixed_read_write,nn,6388,0.982,0.31308703819661865,4388,965,964,4932.07
sklearn,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0,4.34
sklearn,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76,7.75
sklearn,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0,4236.29
sklearn,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,9.61
sklearn,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,33.77
sklearn,2,sequential_read,nn,4078,0.999,0.4904364884747425,2078,249,248,7093.62
sklearn,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0,6.37
sklearn,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997,13.0
sklearn,2,strided_read,nn,5521,0.9805,0.3622532149972831,3521,1962,1961,6366.51
sklearn,2,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0,12.18
sklearn,2,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998,15.26
sklearn,2,mixed_read_write,nn,6232,0.984,0.3209242618741977,4232,969,968,8608.15
sklearn,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0,12.48
sklearn,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76,14.71
sklearn,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0,5004.37
sklearn,3,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,5.68
sklearn,3,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,13.16
sklearn,3,sequential_read,nn,4078,0.999,0.4904364884747425,2078,249,248,8575.08
sklearn,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0,6.8
sklearn,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997,12.56
sklearn,3,strided_read,nn,7315,0.9575,0.2734107997265892,5315,1916,1915,6524.93
sklearn,3,mixed_read_write,baseline,43984,0.5,0.045471080392870136,41984,0,0,12.13
sklearn,3,mixed_read_write,stride,5062,0.999,0.3951007506914263,3062,999,998,17.08
sklearn,3,mixed_read_write,nn,5491,0.9935,0.364232380258605,3491,988,987,8579.71
sklearn,3,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0,6.89
sklearn,3,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76,18.73
sklearn,3,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0,5677.56
sklearn,4,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0,8.57
sklearn,4,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249,14.71
