label,workload,baseline_cycles,baseline_hit,stride_cycles,stride_hit,stride_speedup,nn_cycles,nn_hit,nn_speedup
b8_h16,sequential_read,13750.0,0.875,4039.0,0.9994999999999999,3.4043079970289676,4117.0,0.9985,3.3398105416565462
b8_h16,strided_read,82000.0,0.0,4117.0,0.9985,19.91741559387904,7172.0,0.9593333333333334,11.43335192414947
b8_h16,random_read,74083.0,0.10149999999999999,75604.0,0.082,0.9798820168245066,74083.0,0.10149999999999999,1.0
b8_h32,sequential_read,13750.0,0.875,4039.0,0.9994999999999999,3.4043079970289676,4143.0,0.9981666666666668,3.318851074100893
b8_h32,strided_read,82000.0,0.0,4117.0,0.9985,19.91741559387904,9525.0,0.9291666666666667,8.608923884514436
b8_h32,random_read,74083.0,0.10149999999999999,75604.0,0.082,0.9798820168245066,74083.0,0.10149999999999999,1.0
b16_h16,sequential_read,13750.0,0.875,4039.0,0.9994999999999999,3.4043079970289676,4117.0,0.9985,3.3398105416565462
b16_h16,strided_read,82000.0,0.0,4117.0,0.9985,19.91741559387904,7198.0,0.959,11.392053348152265
b16_h16,random_read,74083.0,0.10149999999999999,75604.0,0.082,0.9798820168245066,74083.0,0.10149999999999999,1.0
b16_h32_lr1e-3,sequential_read,13750.0,0.875,4039.0,0.9994999999999999,3.4043079970289676,4221.0,0.9971666666666668,3.2575219142383323
b16_h32_lr1e-3,strided_read,82000.0,0.0,4117.0,0.9985,19.91741559387904,6041.0,0.9738333333333333,13.573911604039067
b16_h32_lr1e-3,random_read,74083.0,0.10149999999999999,75604.0,0.082,0.9798820168245066,74083.0,0.10149999999999999,1.0
b32_h32,sequential_read,13750.0,0.875,4039.0,0.9994999999999999,3.4043079970289676,4130.0,0.9983333333333334,3.3292978208232444
b32_h32,strided_read,82000.0,0.0,4117.0,0.9985,19.91741559387904,9694.0,0.927,8.458840519909222
b32_h32,random_read,74083.0,0.10149999999999999,75604.0,0.082,0.9798820168245066,74083.0,0.10149999999999999,1.0
b32_h64,sequential_read,13750.0,0.875,4039.0,0.9994999999999999,3.4043079970289676,4169.0,0.9978333333333333,3.2981530343007917
b32_h64,strided_read,82000.0,0.0,4117.0,0.9985,19.91741559387904,9902.0,0.9243333333333332,8.28115532215714
b32_h64,random_read,74083.0,0.10149999999999999,75604.0,0.082,0.9798820168245066,74083.0,0.10149999999999999,1.0
