label,seed,workload,config,cycles,hit_rate,ipc,mem_cycles,prefetch_issued,prefetch_used
b8_h16,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b8_h16,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b8_h16,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
b8_h16,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b8_h16,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
b8_h16,0,strided_read,nn,5287,0.9835,0.3782863627766219,3287,1968,1967
b8_h16,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b8_h16,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b8_h16,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b8_h16,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b8_h16,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b8_h16,1,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
b8_h16,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b8_h16,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
b8_h16,1,strided_read,nn,8953,0.9365,0.22338880822070814,6953,1874,1873
b8_h16,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b8_h16,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b8_h16,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b8_h16,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b8_h16,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b8_h16,2,sequential_read,nn,4078,0.999,0.4904364884747425,2078,249,248
b8_h16,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b8_h16,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
b8_h16,2,strided_read,nn,7276,0.958,0.2748763056624519,5276,1917,1916
b8_h16,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b8_h16,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b8_h16,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b8_h32,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b8_h32,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b8_h32,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
b8_h32,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b8_h32,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
b8_h32,0,strided_read,nn,7861,0.9505,0.25442055718102025,5861,1902,1901
b8_h32,0,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b8_h32,0,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b8_h32,0,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b8_h32,1,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b8_h32,1,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b8_h32,1,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
b8_h32,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b8_h32,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
b8_h32,1,strided_read,nn,8017,0.9485,0.24946987651241112,6017,1898,1897
b8_h32,1,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b8_h32,1,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b8_h32,1,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b8_h32,2,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b8_h32,2,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b8_h32,2,sequential_read,nn,4156,0.998,0.48123195380173245,2156,247,246
b8_h32,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b8_h32,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
b8_h32,2,strided_read,nn,12697,0.8885,0.15751752382452547,10697,1778,1777
b8_h32,2,random_read,baseline,74083,0.1015,0.026996746891999514,72083,0,0
b8_h32,2,random_read,stride,75604,0.082,0.026453626792233214,73604,1865,76
b8_h32,2,random_read,nn,74083,0.1015,0.026996746891999514,72083,7,0
b16_h16,0,sequential_read,baseline,13750,0.875,0.14545454545454545,11750,0,0
b16_h16,0,sequential_read,stride,4039,0.9995,0.49517207229512256,2039,250,249
b16_h16,0,sequential_read,nn,4117,0.9985,0.48579062424095215,2117,248,247
b16_h16,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
b16_h16,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
