config,seed,phase,phase_kind,hit_rate
baseline,0,0,predictable,0.875
baseline,0,1,noisy,0.115
baseline,0,2,predictable,0.89
baseline,0,3,noisy,0.115
baseline,0,4,predictable,0.89
baseline,0,5,noisy,0.125
baseline,0,6,predictable,0.88
baseline,0,7,noisy,0.1
baseline,0,8,predictable,0.88
baseline,0,9,noisy,0.065
baseline,1,0,predictable,0.875
baseline,1,1,noisy,0.115
baseline,1,2,predictable,0.89
baseline,1,3,noisy,0.115
baseline,1,4,predictable,0.89
baseline,1,5,noisy,0.125
baseline,1,6,predictable,0.88
baseline,1,7,noisy,0.1
baseline,1,8,predictable,0.88
baseline,1,9,noisy,0.065
baseline,2,0,predictable,0.875
baseline,2,1,noisy,0.115
baseline,2,2,predictable,0.89
baseline,2,3,noisy,0.115
baseline,2,4,predictable,0.89
baseline,2,5,noisy,0.125
baseline,2,6,predictable,0.88
baseline,2,7,noisy,0.1
baseline,2,8,predictable,0.88
baseline,2,9,noisy,0.065
baseline,3,0,predictable,0.875
baseline,3,1,noisy,0.115
baseline,3,2,predictable,0.89
baseline,3,3,noisy,0.115
baseline,3,4,predictable,0.89
baseline,3,5,noisy,0.125
baseline,3,6,predictable,0.88
baseline,3,7,noisy,0.1
baseline,3,8,predictable,0.88
baseline,3,9,noisy,0.065
baseline,4,0,predictable,0.875
baseline,4,1,noisy,0.115
baseline,4,2,predictable,0.89
baseline,4,3,noisy,0.115
baseline,4,4,predictable,0.89
baseline,4,5,noisy,0.125
baseline,4,6,predictable,0.88
baseline,4,7,noisy,0.1
baseline,4,8,predictable,0.88
baseline,4,9,noisy,0.065
baseline,5,0,predictable,0.875
baseline,5,1,noisy,0.115
baseline,5,2,predictable,0.89
baseline,5,3,noisy,0.115
baseline,5,4,predictable,0.89
baseline,5,5,noisy,0.125
baseline,5,6,predictable,0.88
baseline,5,7,noisy,0.1
baseline,5,8,predictable,0.88
baseline,5,9,noisy,0.065
baseline,6,0,predictable,0.875
baseline,6,1,noisy,0.115
baseline,6,2,predictable,0.89
baseline,6,3,noisy,0.115
baseline,6,4,predictable,0.89
baseline,6,5,noisy,0.125
baseline,6,6,predictable,0.88
baseline,6,7,noisy,0.1
baseline,6,8,predictable,0.88
baseline,6,9,noisy,0.065
baseline,7,0,predictable,0.875
baseline,7,1,noisy,0.115
baseline,7,2,predictable,0.89
baseline,7,3,noisy,0.115
baseline,7,4,predictable,0.89
baseline,7,5,noisy,0.125
baseline,7,6,predictable,0.88
baseline,7,7,noisy,0.1
baseline,7,8,predictable,0.88
baseline,7,9,noisy,0.065
baseline,8,0,predictable,0.875
baseline,8,1,noisy,0.115
baseline,8,2,predictable,0.89
baseline,8,3,noisy,0.115
baseline,8,4,predictable,0.89
baseline,8,5,noisy,0.125
baseline,8,6,predictable,0.88
baseline,8,7,noisy,0.1
baseline,8,8,predictable,0.88
baseline,8,9,noisy,0.065
baseline,9,0,predictable,0.875
baseline,9,1,noisy,0.115
baseline,9,2,predictable,0.89
baseline,9,3,noisy,0.115
baseline,9,4,predictable,0.89
baseline,9,5,noisy,0.125
baseline,9,6,predictable,0.88
baseline,9,7,noisy,0.1
baseline,9,8,predictable,0.88
baseline,9,9,noisy,0.065
stride,0,0,predictable,0.995
stride,0,1,noisy,0.085
stride,0,2,predictable,0.995
stride,0,3,noisy,0.09
stride,0,4,predictable,0.995
stride,0,5,noisy,0.085
stride,0,6,predictable,0.995
stride,0,7,noisy,0.07
stride,0,8,predictable,0.995
stride,0,9,noisy,0.095
stride,1,0,predictable,0.995
stride,1,1,noisy,0.085
stride,1,2,predictable,0.995
stride,1,3,noisy,0.09
stride,1,4,predictable,0.995
stride,1,5,noisy,0.085
stride,1,6,predictable,0.995
stride,1,7,noisy,0.07
stride,1,8,predictable,0.995
stride,1,9,noisy,0.095
stride,2,0,predictable,0.995
stride,2,1,noisy,0.085
stride,2,2,predictable,0.995
stride,2,3,noisy,0.09
stride,2,4,predictable,0.995
stride,2,5,noisy,0.085
stride,2,6,predictable,0.995
stride,2,7,noisy,0.07
stride,2,8,predictable,0.995
stride,2,9,noisy,0.095
stride,3,0,predictable,0.995
stride,3,1,noisy,0.085
stride,3,2,predictable,0.995
stride,3,3,noisy,0.09
stride,3,4,predictable,0.995
stride,3,5,noisy,0.085
stride,3,6,predictable,0.995
stride,3,7,noisy,0.07
stride,3,8,predictable,0.995
stride,3,9,noisy,0.095
stride,4,0,predictable,0.995
stride,4,1,noisy,0.085
stride,4,2,predictable,0.995
stride,4,3,noisy,0.09
stride,4,4,predictable,0.995
stride,4,5,noisy,0.085
stride,4,6,predictable,0.995
stride,4,7,noisy,0.07
stride,4,8,predictable,0.995
stride,4,9,noisy,0.095
stride,5,0,predictable,0.995
stride,5,1,noisy,0.085
stride,5,2,predictable,0.995
stride,5,3,noisy,0.09
stride,5,4,predictable,0.995
stride,5,5,noisy,0.085
stride,5,6,predictable,0.995
stride,5,7,noisy,0.07
stride,5,8,predictable,0.995
stride,5,9,noisy,0.095
stride,6,0,predictable,0.995
stride,6,1,noisy,0.085
stride,6,2,predictable,0.995
stride,6,3,noisy,0.09
stride,6,4,predictable,0.995
stride,6,5,noisy,0.085
stride,6,6,predictable,0.995
stride,6,7,noisy,0.07
stride,6,8,predictable,0.995
stride,6,9,noisy,0.095
stride,7,0,predictable,0.995
stride,7,1,noisy,0.085
stride,7,2,predictable,0.995
stride,7,3,noisy,0.09
stride,7,4,predictable,0.995
stride,7,5,noisy,0.085
stride,7,6,predictable,0.995
stride,7,7,noisy,0.07
stride,7,8,predictable,0.995
stride,7,9,noisy,0.095
stride,8,0,predictable,0.995
stride,8,1,noisy,0.085
stride,8,2,predictable,0.995
stride,8,3,noisy,0.09
stride,8,4,predictable,0.995
stride,8,5,noisy,0.085
stride,8,6,predictable,0.995
stride,8,7,noisy,0.07
stride,8,8,predictable,0.995
stride,8,9,noisy,0.095
stride,9,0,predictable,0.995
stride,9,1,noisy,0.085
stride,9,2,predictable,0.995
stride,9,3,noisy,0.09
stride,9,4,predictable,0.995
stride,9,5,noisy,0.085
stride,9,6,predictable,0.995
stride,9,7,noisy,0.07
stride,9,8,predictable,0.995
stride,9,9,noisy,0.095
nn,0,0,predictable,0.985
nn,0,1,noisy,0.115
nn,0,2,predictable,0.935
nn,0,3,noisy,0.12
nn,0,4,predictable,0.9
nn,0,5,noisy,0.13
nn,0,6,predictable,0.9
nn,0,7,noisy,0.105
nn,0,8,predictable,0.895
nn,0,9,noisy,0.065
nn,1,0,predictable,0.985
nn,1,1,noisy,0.115
nn,1,2,predictable,0.95
nn,1,3,noisy,0.115
nn,1,4,predictable,0.91
nn,1,5,noisy,0.13
nn,1,6,predictable,0.89
nn,1,7,noisy,0.105
nn,1,8,predictable,0.9
nn,1,9,noisy,0.065
nn,2,0,predictable,0.98
nn,2,1,noisy,0.115
nn,2,2,predictable,0.94
nn,2,3,noisy,0.115
nn,2,4,predictable,0.89
nn,2,5,noisy,0.13
nn,2,6,predictable,0.895
nn,2,7,noisy,0.1
nn,2,8,predictable,0.895
nn,2,9,noisy,0.065
nn,3,0,predictable,0.98
nn,3,1,noisy,0.115
nn,3,2,predictable,0.935
nn,3,3,noisy,0.12
nn,3,4,predictable,0.895
nn,3,5,noisy,0.125
nn,3,6,predictable,0.895
nn,3,7,noisy,0.105
nn,3,8,predictable,0.895
nn,3,9,noisy,0.065
nn,4,0,predictable,0.985
nn,4,1,noisy,0.115
nn,4,2,predictable,0.94
nn,4,3,noisy,0.12
nn,4,4,predictable,0.905
nn,4,5,noisy,0.125
nn,4,6,predictable,0.885
nn,4,7,noisy,0.1
nn,4,8,predictable,0.9
nn,4,9,noisy,0.065
nn,5,0,predictable,0.98
nn,5,1,noisy,0.115
nn,5,2,predictable,0.92
nn,5,3,noisy,0.115
nn,5,4,predictable,0.9
nn,5,5,noisy,0.125
nn,5,6,predictable,0.885
nn,5,7,noisy,0.1
nn,5,8,predictable,0.905
nn,5,9,noisy,0.065
nn,6,0,predictable,0.985
nn,6,1,noisy,0.115
nn,6,2,predictable,0.945
nn,6,3,noisy,0.115
nn,6,4,predictable,0.9
nn,6,5,noisy,0.125
nn,6,6,predictable,0.895
nn,6,7,noisy,0.1
nn,6,8,predictable,0.895
nn,6,9,noisy,0.065
nn,7,0,predictable,0.975
nn,7,1,noisy,0.115
nn,7,2,predictable,0.915
nn,7,3,noisy,0.115
nn,7,4,predictable,0.905
nn,7,5,noisy,0.125
nn,7,6,predictable,0.9
nn,7,7,noisy,0.1
nn,7,8,predictable,0.905
nn,7,9,noisy,0.065
nn,8,0,predictable,0.985
nn,8,1,noisy,0.115
nn,8,2,predictable,0.915
nn,8,3,noisy,0.115
nn,8,4,predictable,0.89
nn,8,5,noisy,0.125
nn,8,6,predictable,0.9
nn,8,7,noisy,0.105
nn,8,8,predictable,0.895
nn,8,9,noisy,0.065
nn,9,0,predictable,0.985
nn,9,1,noisy,0.115
nn,9,2,predictable,0.945
nn,9,3,noisy,0.115
nn,9,4,predictable,0.9
nn,9,5,noisy,0.125
nn,9,6,predictable,0.9
nn,9,7,noisy,0.105
nn,9,8,predictable,0.9
nn,9,9,noisy,0.065
