instructions,cycles,ipc,cycles_per_instruction,hit_rate,prefetch_issued,prefetch_used,prefetch_accuracy,mem_cycles,arith_cycles,wall_seconds,run,seed,workload,config,base_cycles,speedup
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.00786820036591962,0,0,kv_cache_append,baseline,65908.0,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.012487899453844875,0,0,kv_cache_append,stride,65908.0,1.965173832667422
1583,50425,0.03139315815567675,31.854074542008846,0.2558433354390398,703,398,0.566145092460882,48842,0,0.7337817997322418,0,0,kv_cache_append,nn,65908.0,1.307050074367873
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.004626800073310733,0,0,embedding_lookup,baseline,17143.0,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.007119600777514279,0,0,embedding_lookup,stride,17143.0,1.881984850148205
2000,10591,0.18883958077613067,5.2955,0.9155,246,168,0.6829268292682927,8591,0,0.7085831987787969,0,0,embedding_lookup,nn,17143.0,1.6186384666226041
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.006168799474835396,0,0,agent_rag,baseline,17026.0,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.008834999985992908,0,0,agent_rag,stride,17026.0,2.1446025947852374
2000,8719,0.22938410368161485,4.3595,0.9395,296,217,0.7331081081081081,6719,0,0.8023553004022688,0,0,agent_rag,nn,17026.0,1.9527468746415872
2000,13750,0.14545454545454545,6.875,0.875,0,0,0.0,11750,0,0.0053282996523194015,0,0,token_stream,baseline,13750.0,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.011677300732117146,0,0,token_stream,stride,13750.0,3.4043079970289676
2000,4234,0.4723665564478035,2.117,0.997,245,244,0.9959183673469387,2234,0,2.6035872995853424,0,0,token_stream,nn,13750.0,3.247520075578649
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.04773529927479103,1,1,kv_cache_append,baseline,65908.0,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.04716789972735569,1,1,kv_cache_append,stride,65908.0,1.965173832667422
1583,49294,0.03211344179819045,31.1396083385976,0.27416298168035375,655,427,0.6519083969465649,47711,0,1.8556696007144637,1,1,kv_cache_append,nn,65908.0,1.3370389905465168
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.01554660138208419,1,1,embedding_lookup,baseline,17143.0,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.018364199378993362,1,1,embedding_lookup,stride,17143.0,1.881984850148205
2000,10552,0.18953752843062927,5.276,0.916,238,169,0.7100840336134454,8552,0,1.9909838967141695,1,1,embedding_lookup,nn,17143.0,1.6246209249431387
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.014092200668528676,1,1,agent_rag,baseline,17026.0,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.021217398927547038,1,1,agent_rag,stride,17026.0,2.1446025947852374
2000,8602,0.23250406882120436,4.301,0.941,301,220,0.7308970099667774,6602,0,1.4987498008995317,1,1,agent_rag,nn,17026.0,1.9793071378749127
2000,13750,0.14545454545454545,6.875,0.875,0,0,0.0,11750,0,0.010469400673173368,1,1,token_stream,baseline,13750.0,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,249,0.996,2039,0,0.01591230049962178,1,1,token_stream,stride,13750.0,3.4043079970289676
2000,4273,0.46805523051720105,2.1365,0.9965,244,243,0.9959016393442623,2273,0,1.437061200849712,1,1,token_stream,nn,13750.0,3.217879709805757
1583,65908,0.024018328579231658,41.63487049905243,0.00505369551484523,0,0,0.0,64325,0,0.008863100258167833,2,2,kv_cache_append,baseline,65908.0,1.0
1583,33538,0.04720019082831415,21.186355022109918,0.5293746051800379,1324,832,0.6283987915407855,31955,0,0.011613899609073997,2,2,kv_cache_append,stride,65908.0,1.965173832667422
1583,50737,0.031200110373100498,32.05116866708781,0.25078963992419456,672,390,0.5803571428571429,49154,0,0.9016934987157583,2,2,kv_cache_append,nn,65908.0,1.2990125549401816
2000,17143,0.11666569445254622,8.5715,0.8315,0,0,0.0,15143,0,0.007697900175116956,2,2,embedding_lookup,baseline,17143.0,1.0
2000,9109,0.2195630694917115,4.5545,0.9345,342,207,0.6052631578947368,7109,0,0.00902359967585653,2,2,embedding_lookup,stride,17143.0,1.881984850148205
2000,10513,0.19024065442785124,5.2565,0.9165,267,171,0.6404494382022472,8513,0,1.583609801135026,2,2,embedding_lookup,nn,17143.0,1.6306477694283268
2000,17026,0.1174674027957242,8.513,0.833,0,0,0.0,15026,0,0.006194199959281832,2,2,agent_rag,baseline,17026.0,1.0
2000,7939,0.25192089683839275,3.9695,0.9495,336,237,0.7053571428571429,5939,0,0.01819750090362504,2,2,agent_rag,stride,17026.0,2.1446025947852374
2000,8719,0.22938410368161485,4.3595,0.9395,303,217,0.7161716171617162,6719,0,1.0599521983531304,2,2,agent_rag,nn,17026.0,1.9527468746415872
