label,seed,workload,config,cycles,hit_rate,ipc,mem_cycles,prefetch_issued,prefetch_used
warm_1,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_1,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_1,0,strided_read,nn,8017,0.9485,0.24946987651241112,6017,1898,1897
warm_1,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_1,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_1,1,strided_read,nn,8407,0.9435,0.23789699060306888,6407,1888,1887
warm_1,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_1,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_1,2,strided_read,nn,13087,0.8835,0.15282341254680218,11087,1768,1767
warm_1,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_1,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_1,3,strided_read,nn,10045,0.9225,0.1991040318566451,8045,1846,1845
warm_1,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_1,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_1,4,strided_read,nn,10279,0.9195,0.1945714563673509,8279,1839,1839
warm_2,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_2,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_2,0,strided_read,nn,7861,0.9505,0.25442055718102025,5861,1902,1901
warm_2,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_2,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_2,1,strided_read,nn,8329,0.9445,0.24012486492976348,6329,1890,1889
warm_2,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_2,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_2,2,strided_read,nn,12112,0.896,0.16512549537648613,10112,1793,1792
warm_2,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_2,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_2,3,strided_read,nn,10045,0.9225,0.1991040318566451,8045,1846,1845
warm_2,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_2,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_2,4,strided_read,nn,10474,0.917,0.19094901661256444,8474,1835,1834
warm_4,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_4,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_4,0,strided_read,nn,7549,0.9545,0.26493575307987816,5549,1910,1909
warm_4,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_4,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_4,1,strided_read,nn,9304,0.932,0.21496130696474636,7304,1865,1864
warm_4,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_4,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_4,2,strided_read,nn,11215,0.9075,0.17833259028087384,9215,1816,1815
warm_4,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_4,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_4,3,strided_read,nn,10084,0.922,0.19833399444664815,8084,1845,1844
warm_4,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_4,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_4,4,strided_read,nn,11059,0.9095,0.18084817795460711,9059,1820,1819
warm_8,0,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_8,0,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_8,0,strided_read,nn,8212,0.946,0.24354603019970775,6212,1893,1892
warm_8,1,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_8,1,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_8,1,strided_read,nn,8251,0.9455,0.24239486122894194,6251,1892,1891
warm_8,2,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_8,2,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_8,2,strided_read,nn,11215,0.9075,0.17833259028087384,9215,1816,1815
warm_8,3,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_8,3,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_8,3,strided_read,nn,9694,0.927,0.20631318341242005,7694,1855,1854
warm_8,4,strided_read,baseline,82000,0.0,0.024390243902439025,80000,0,0
warm_8,4,strided_read,stride,4117,0.9985,0.48579062424095215,2117,1998,1997
warm_8,4,strided_read,nn,9538,0.929,0.20968756552736423,7538,1859,1858
