workload,comparison,n_pairs,median_cycles_a,median_cycles_b,median_diff_cycles,w_plus,z,p_value,significant_0.05,note
sequential_read,nn_vs_baseline,30,4136.5,13750.0,-9613.5,0.0,-4.840599593162649,2.749661307532847e-06,True,
sequential_read,nn_vs_stride,30,4136.5,4039.0,97.5,435.0,4.76671184221823,3.945113936421052e-06,True,
sequential_read,stride_vs_baseline,30,4039.0,13750.0,-9711.0,0.0,-5.477225575051661,9.825804148100303e-08,True,
strided_read,nn_vs_baseline,30,9167.5,82000.0,-72832.5,0.0,-4.78239180949292,3.6557974982809327e-06,True,
strided_read,nn_vs_stride,30,9167.5,4117.0,5050.5,465.0,4.78239180949292,3.6557974982809327e-06,True,
strided_read,stride_vs_baseline,30,4117.0,82000.0,-77883.0,0.0,-5.477225575051661,9.825804148100303e-08,True,
mixed_read_write,nn_vs_baseline,30,7148.5,43984.0,-36835.5,0.0,-4.782644759103523,3.651301297313836e-06,True,
mixed_read_write,nn_vs_stride,30,7148.5,5062.0,2086.5,465.0,4.782644759103523,3.651301297313836e-06,True,
mixed_read_write,stride_vs_baseline,30,5062.0,43984.0,-38922.0,0.0,-5.477225575051661,9.825804148100303e-08,True,
random_read,nn_vs_baseline,30,74083.0,74083.0,0.0,,,,False,identical (no paired difference)
random_read,nn_vs_stride,30,74083.0,75604.0,-1521.0,0.0,-5.477225575051661,9.825804148100303e-08,True,
random_read,stride_vs_baseline,30,75604.0,74083.0,1521.0,465.0,5.477225575051661,9.825804148100303e-08,True,
phased_switch,nn_vs_baseline,30,42473.5,43819.0,-1345.5,0.0,-4.7966191008765104,3.4109786444247447e-06,True,
phased_switch,nn_vs_stride,30,42473.5,39763.0,2710.5,465.0,4.7966191008765104,3.4109786444247447e-06,True,
phased_switch,stride_vs_baseline,30,39763.0,43819.0,-4056.0,0.0,-5.477225575051661,9.825804148100303e-08,True,
