run,seed,workload,config,cycles,speedup
0,0,sequential_read,baseline,20625,1.0
0,0,sequential_read,stride,6039,3.4153005464480874
0,0,sequential_read,nn,6156,3.3503898635477585
0,0,strided_read,baseline,123000,1.0
0,0,strided_read,stride,6117,20.10789602746444
0,0,strided_read,nn,10641,11.559063997744573
0,0,mixed_read_write,baseline,65984,1.0
0,0,mixed_read_write,stride,7562,8.725733932822004
0,0,mixed_read_write,nn,9902,6.66370430216118
0,0,random_read,baseline,110988,1.0
0,0,random_read,stride,113328,0.9793519695044473
0,0,random_read,nn,110988,1.0
0,0,arithmetic_mix,baseline,15000,1.0
0,0,arithmetic_mix,stride,15000,1.0
0,0,arithmetic_mix,nn,15000,1.0
1,1,sequential_read,baseline,20625,1.0
1,1,sequential_read,stride,6039,3.4153005464480874
1,1,sequential_read,nn,6117,3.3717508582638547
1,1,strided_read,baseline,123000,1.0
1,1,strided_read,stride,6117,20.10789602746444
1,1,strided_read,nn,14775,8.3248730964467
1,1,mixed_read_write,baseline,65984,1.0
1,1,mixed_read_write,stride,7562,8.725733932822004
1,1,mixed_read_write,nn,11579,5.698592279126004
1,1,random_read,baseline,110988,1.0
1,1,random_read,stride,113328,0.9793519695044473
1,1,random_read,nn,110988,1.0
1,1,arithmetic_mix,baseline,15000,1.0
1,1,arithmetic_mix,stride,15000,1.0
1,1,arithmetic_mix,nn,15000,1.0
2,2,sequential_read,baseline,20625,1.0
2,2,sequential_read,stride,6039,3.4153005464480874
2,2,sequential_read,nn,6156,3.3503898635477585
2,2,strided_read,baseline,123000,1.0
2,2,strided_read,stride,6117,20.10789602746444
2,2,strided_read,nn,17037,7.219580912132417
2,2,mixed_read_write,baseline,65984,1.0
2,2,mixed_read_write,stride,7562,8.725733932822004
2,2,mixed_read_write,nn,13763,4.794303567536148
2,2,random_read,baseline,110988,1.0
2,2,random_read,stride,113328,0.9793519695044473
2,2,random_read,nn,110988,1.0
2,2,arithmetic_mix,baseline,15000,1.0
2,2,arithmetic_mix,stride,15000,1.0
2,2,arithmetic_mix,nn,15000,1.0
3,3,sequential_read,baseline,20625,1.0
3,3,sequential_read,stride,6039,3.4153005464480874
3,3,sequential_read,nn,6156,3.3503898635477585
3,3,strided_read,baseline,123000,1.0
3,3,strided_read,stride,6117,20.10789602746444
3,3,strided_read,nn,15126,8.131693772312575
3,3,mixed_read_write,baseline,65984,1.0
3,3,mixed_read_write,stride,7562,8.725733932822004
3,3,mixed_read_write,nn,10877,6.066378597039625
3,3,random_read,baseline,110988,1.0
3,3,random_read,stride,113328,0.9793519695044473
3,3,random_read,nn,110988,1.0
3,3,arithmetic_mix,baseline,15000,1.0
3,3,arithmetic_mix,stride,15000,1.0
3,3,arithmetic_mix,nn,15000,1.0
4,4,sequential_read,baseline,20625,1.0
4,4,sequential_read,stride,6039,3.4153005464480874
4,4,sequential_read,nn,6273,3.2879005260640843
4,4,strided_read,baseline,123000,1.0
4,4,strided_read,stride,6117,20.10789602746444
4,4,strided_read,nn,15672,7.848392036753445
4,4,mixed_read_write,baseline,65984,1.0
4,4,mixed_read_write,stride,7562,8.725733932822004
4,4,mixed_read_write,nn,11228,5.87673672960456
4,4,random_read,baseline,110988,1.0
4,4,random_read,stride,113328,0.9793519695044473
4,4,random_read,nn,110988,1.0
4,4,arithmetic_mix,baseline,15000,1.0
4,4,arithmetic_mix,stride,15000,1.0
4,4,arithmetic_mix,nn,15000,1.0
5,5,sequential_read,baseline,20625,1.0
5,5,sequential_read,stride,6039,3.4153005464480874
5,5,sequential_read,nn,6156,3.3503898635477585
5,5,strided_read,baseline,123000,1.0
5,5,strided_read,stride,6117,20.10789602746444
5,5,strided_read,nn,12747,9.649329253942105
5,5,mixed_read_write,baseline,65984,1.0
5,5,mixed_read_write,stride,7562,8.725733932822004
5,5,mixed_read_write,nn,12164,5.424531404143374
5,5,random_read,baseline,110988,1.0
5,5,random_read,stride,113328,0.9793519695044473
5,5,random_read,nn,110988,1.0
5,5,arithmetic_mix,baseline,15000,1.0
5,5,arithmetic_mix,stride,15000,1.0
5,5,arithmetic_mix,nn,15000,1.0
6,6,sequential_read,baseline,20625,1.0
6,6,sequential_read,stride,6039,3.4153005464480874
6,6,sequential_read,nn,6117,3.3717508582638547
6,6,strided_read,baseline,123000,1.0
6,6,strided_read,stride,6117,20.10789602746444
6,6,strided_read,nn,16569,7.423501720079667
6,6,mixed_read_write,baseline,65984,1.0
6,6,mixed_read_write,stride,7562,8.725733932822004
6,6,mixed_read_write,nn,16103,4.097621561199777
6,6,random_read,baseline,110988,1.0
6,6,random_read,stride,113328,0.9793519695044473
6,6,random_read,nn,110988,1.0
6,6,arithmetic_mix,baseline,15000,1.0
6,6,arithmetic_mix,stride,15000,1.0
6,6,arithmetic_mix,nn,15000,1.0
7,7,sequential_read,baseline,20625,1.0
7,7,sequential_read,stride,6039,3.4153005464480874
7,7,sequential_read,nn,6195,3.3292978208232444
7,7,strided_read,baseline,123000,1.0
7,7,strided_read,stride,6117,20.10789602746444
7,7,strided_read,nn,13644,9.01495162708883
7,7,mixed_read_write,baseline,65984,1.0
7,7,mixed_read_write,stride,7562,8.725733932822004
7,7,mixed_read_write,nn,10994,6.001819174094961
7,7,random_read,baseline,110988,1.0
7,7,random_read,stride,113328,0.9793519695044473
7,7,random_read,nn,110988,1.0
7,7,arithmetic_mix,baseline,15000,1.0
7,7,arithmetic_mix,stride,15000,1.0
7,7,arithmetic_mix,nn,15000,1.0
