instructions,cycles,ipc,cycles_per_instruction,hit_rate,prefetch_issued,prefetch_used,prefetch_accuracy,mem_cycles,arith_cycles,wall_seconds,run,seed,workload,config,base_cycles,speedup
4000,27500,0.14545454545454545,6.875,0.875,0,0,0.0,23500,0,0.006411000154912472,0,0,sequential_read,baseline,27500.0,1.0
4000,8039,0.4975743251648215,2.00975,0.99975,500,499,0.998,4039,0,0.009060799435246736,0,0,sequential_read,stride,27500.0,3.420823485508148
4000,8156,0.4904364884747425,2.039,0.999,497,496,0.9979879275653923,4156,0,0.920999999740161,0,0,sequential_read,nn,27500.0,3.3717508582638547
4000,164000,0.024390243902439025,41.0,0.0,0,0,0.0,160000,0,0.006907800328917801,0,0,strided_read,baseline,164000.0,1.0
4000,8117,0.49279290378218554,2.02925,0.99925,3998,3997,0.9997498749374687,4117,0,0.012320599926169962,0,0,strided_read,stride,164000.0,20.204509055069607
4000,14006,0.285591889190347,3.5015,0.9615,3847,3846,0.9997400571874188,10006,0,0.8441270004259422,0,0,strided_read,nn,164000.0,11.709267456804227
4000,87984,0.04546281142025823,21.996,0.5,0,0,0.0,83984,0,0.008359099563676864,0,0,mixed_read_write,baseline,87984.0,1.0
4000,10062,0.3975352812562115,2.5155,0.9995,1999,1998,0.9994997498749375,6062,0,0.012938998988829553,0,0,mixed_read_write,stride,87984.0,8.744186046511627
4000,14352,0.2787068004459309,3.588,0.972,1889,1888,0.9994706193753309,10352,0,0.8978849998675287,0,0,mixed_read_write,nn,87984.0,6.130434782608695
4000,147932,0.027039450558364653,36.983,0.103,0,0,0.0,143932,0,0.011098399525508285,0,0,random_read,baseline,147932.0,1.0
4000,151130,0.026467279825315954,37.7825,0.0825,3729,152,0.04076159828372218,147130,0,0.01217120123328641,0,0,random_read,stride,147932.0,0.9788394097796599
4000,147932,0.027039450558364653,36.983,0.103,7,0,0.0,143932,0,0.620662899047602,0,0,random_read,nn,147932.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.003945700416807085,0,0,arithmetic_mix,baseline,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.003476399928331375,0,0,arithmetic_mix,stride,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.0034398999996483326,0,0,arithmetic_mix,nn,19997.0,1.0
4000,27500,0.14545454545454545,6.875,0.875,0,0,0.0,23500,0,0.006177600414957851,1,1,sequential_read,baseline,27500.0,1.0
4000,8039,0.4975743251648215,2.00975,0.99975,500,499,0.998,4039,0,0.008257200417574495,1,1,sequential_read,stride,27500.0,3.420823485508148
4000,8117,0.49279290378218554,2.02925,0.99925,498,497,0.9979919678714859,4117,0,1.1045540004270151,1,1,sequential_read,nn,27500.0,3.3879512135025256
4000,164000,0.024390243902439025,41.0,0.0,0,0,0.0,160000,0,0.00907149980776012,1,1,strided_read,baseline,164000.0,1.0
4000,8117,0.49279290378218554,2.02925,0.99925,3998,3997,0.9997498749374687,4117,0,0.016195699921809137,1,1,strided_read,stride,164000.0,20.204509055069607
4000,19622,0.2038528182652125,4.9055,0.9255,3703,3702,0.9997299486902511,15622,0,1.297121797048021,1,1,strided_read,nn,164000.0,8.357965548873713
4000,87984,0.04546281142025823,21.996,0.5,0,0,0.0,83984,0,0.010607299511320889,1,1,mixed_read_write,baseline,87984.0,1.0
4000,10062,0.3975352812562115,2.5155,0.9995,1999,1998,0.9994997498749375,6062,0,0.015883999352809042,1,1,mixed_read_write,stride,87984.0,8.744186046511627
4000,16614,0.24076080414108583,4.1535,0.9575,1831,1830,0.9994538503549972,12614,0,0.9171626989264041,1,1,mixed_read_write,nn,87984.0,5.295774647887324
4000,147932,0.027039450558364653,36.983,0.103,0,0,0.0,143932,0,0.0074107006075792015,1,1,random_read,baseline,147932.0,1.0
4000,151130,0.026467279825315954,37.7825,0.0825,3729,152,0.04076159828372218,147130,0,0.011731699807569385,1,1,random_read,stride,147932.0,0.9788394097796599
4000,147932,0.027039450558364653,36.983,0.103,7,0,0.0,143932,0,0.7046147982473485,1,1,random_read,nn,147932.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.0036919997655786574,1,1,arithmetic_mix,baseline,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.0047853998257778585,1,1,arithmetic_mix,stride,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.0047922993544489145,1,1,arithmetic_mix,nn,19997.0,1.0
4000,27500,0.14545454545454545,6.875,0.875,0,0,0.0,23500,0,0.007902499695774168,2,2,sequential_read,baseline,27500.0,1.0
4000,8039,0.4975743251648215,2.00975,0.99975,500,499,0.998,4039,0,0.009196100814733654,2,2,sequential_read,stride,27500.0,3.420823485508148
4000,8234,0.48579062424095215,2.0585,0.9985,495,494,0.997979797979798,4234,0,0.7572947005974129,2,2,sequential_read,nn,27500.0,3.3398105416565462
4000,164000,0.024390243902439025,41.0,0.0,0,0,0.0,160000,0,0.006455400492995977,2,2,strided_read,baseline,164000.0,1.0
4000,8117,0.49279290378218554,2.02925,0.99925,3998,3997,0.9997498749374687,4117,0,0.010469400440342724,2,2,strided_read,stride,164000.0,20.204509055069607
4000,21221,0.18849253098345978,5.30525,0.91525,3662,3661,0.9997269251774986,17221,0,0.7803130996180698,2,2,strided_read,nn,164000.0,7.728193770321851
4000,87984,0.04546281142025823,21.996,0.5,0,0,0.0,83984,0,0.008480200543999672,2,2,mixed_read_write,baseline,87984.0,1.0
4000,10062,0.3975352812562115,2.5155,0.9995,1999,1998,0.9994997498749375,6062,0,0.011668499675579369,2,2,mixed_read_write,stride,87984.0,8.744186046511627
4000,19188,0.20846362309776945,4.797,0.941,1765,1764,0.9994334277620397,15188,0,0.7713645008625463,2,2,mixed_read_write,nn,87984.0,4.585365853658536
4000,147932,0.027039450558364653,36.983,0.103,0,0,0.0,143932,0,0.006886000628583133,2,2,random_read,baseline,147932.0,1.0
4000,151130,0.026467279825315954,37.7825,0.0825,3729,152,0.04076159828372218,147130,0,0.012226100428961217,2,2,random_read,stride,147932.0,0.9788394097796599
4000,147932,0.027039450558364653,36.983,0.103,7,0,0.0,143932,0,0.7566321007907391,2,2,random_read,nn,147932.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.004032901197206229,2,2,arithmetic_mix,baseline,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.0036030003684572875,2,2,arithmetic_mix,stride,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.004629800037946552,2,2,arithmetic_mix,nn,19997.0,1.0
4000,27500,0.14545454545454545,6.875,0.875,0,0,0.0,23500,0,0.006001699599437416,3,3,sequential_read,baseline,27500.0,1.0
4000,8039,0.4975743251648215,2.00975,0.99975,500,499,0.998,4039,0,0.008568599645514041,3,3,sequential_read,stride,27500.0,3.420823485508148
4000,8195,0.4881025015253203,2.04875,0.99875,496,495,0.9979838709677419,4195,0,0.7258795984089375,3,3,sequential_read,nn,27500.0,3.3557046979865772
4000,164000,0.024390243902439025,41.0,0.0,0,0,0.0,160000,0,0.008347000228241086,3,3,strided_read,baseline,164000.0,1.0
4000,8117,0.49279290378218554,2.02925,0.99925,3998,3997,0.9997498749374687,4117,0,0.011557799822185189,3,3,strided_read,stride,164000.0,20.204509055069607
4000,18764,0.2131741632914091,4.691,0.931,3725,3724,0.9997315436241611,14764,0,0.7330364999361336,3,3,strided_read,nn,164000.0,8.740140694947772
4000,87984,0.04546281142025823,21.996,0.5,0,0,0.0,83984,0,0.008046099275816232,3,3,mixed_read_write,baseline,87984.0,1.0
4000,10062,0.3975352812562115,2.5155,0.9995,1999,1998,0.9994997498749375,6062,0,0.011844999331515282,3,3,mixed_read_write,stride,87984.0,8.744186046511627
4000,14547,0.2749707843541624,3.63675,0.97075,1884,1883,0.9994692144373672,10547,0,0.8589145987061784,3,3,mixed_read_write,nn,87984.0,6.048257372654155
4000,147932,0.027039450558364653,36.983,0.103,0,0,0.0,143932,0,0.0076805996941402555,3,3,random_read,baseline,147932.0,1.0
4000,151130,0.026467279825315954,37.7825,0.0825,3729,152,0.04076159828372218,147130,0,0.016870900406502187,3,3,random_read,stride,147932.0,0.9788394097796599
4000,147932,0.027039450558364653,36.983,0.103,7,0,0.0,143932,0,0.7124047019169666,3,3,random_read,nn,147932.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.0036769009311683476,3,3,arithmetic_mix,baseline,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.0035064996918663383,3,3,arithmetic_mix,stride,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.003789400216192007,3,3,arithmetic_mix,nn,19997.0,1.0
4000,27500,0.14545454545454545,6.875,0.875,0,0,0.0,23500,0,0.0061499010771512985,4,4,sequential_read,baseline,27500.0,1.0
4000,8039,0.4975743251648215,2.00975,0.99975,500,499,0.998,4039,0,0.008443300204817206,4,4,sequential_read,stride,27500.0,3.420823485508148
4000,8273,0.4835005439381119,2.06825,0.99825,494,493,0.9979757085020243,4273,0,0.6504027986666188,4,4,sequential_read,nn,27500.0,3.3240662395745195
4000,164000,0.024390243902439025,41.0,0.0,0,0,0.0,160000,0,0.006893000099807978,4,4,strided_read,baseline,164000.0,1.0
4000,8117,0.49279290378218554,2.02925,0.99925,3998,3997,0.9997498749374687,4117,0,0.012967999384272844,4,4,strided_read,stride,164000.0,20.204509055069607
4000,20441,0.19568514260554767,5.11025,0.92025,3682,3681,0.9997284084736556,16441,0,0.6979328998131678,4,4,strided_read,nn,164000.0,8.023090846827454
4000,87984,0.04546281142025823,21.996,0.5,0,0,0.0,83984,0,0.008675699937157333,4,4,mixed_read_write,baseline,87984.0,1.0
4000,10062,0.3975352812562115,2.5155,0.9995,1999,1998,0.9994997498749375,6062,0,0.017933999828528613,4,4,mixed_read_write,stride,87984.0,8.744186046511627
4000,16887,0.2368685971457334,4.22175,0.95575,1824,1823,0.9994517543859649,12887,0,0.8885116972378455,4,4,mixed_read_write,nn,87984.0,5.210161662817552
4000,147932,0.027039450558364653,36.983,0.103,0,0,0.0,143932,0,0.007166300143580884,4,4,random_read,baseline,147932.0,1.0
4000,151130,0.026467279825315954,37.7825,0.0825,3729,152,0.04076159828372218,147130,0,0.011525800393428653,4,4,random_read,stride,147932.0,0.9788394097796599
4000,147932,0.027039450558364653,36.983,0.103,7,0,0.0,143932,0,0.6618740008561872,4,4,random_read,nn,147932.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.004005900758784264,4,4,arithmetic_mix,baseline,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.004968801105860621,4,4,arithmetic_mix,stride,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.003940200142096728,4,4,arithmetic_mix,nn,19997.0,1.0
4000,27500,0.14545454545454545,6.875,0.875,0,0,0.0,23500,0,0.00570830050855875,5,5,sequential_read,baseline,27500.0,1.0
4000,8039,0.4975743251648215,2.00975,0.99975,500,499,0.998,4039,0,0.008969299786258489,5,5,sequential_read,stride,27500.0,3.420823485508148
4000,8234,0.48579062424095215,2.0585,0.9985,495,494,0.997979797979798,4234,0,0.692484300059732,5,5,sequential_read,nn,27500.0,3.3398105416565462
4000,164000,0.024390243902439025,41.0,0.0,0,0,0.0,160000,0,0.006860199384391308,5,5,strided_read,baseline,164000.0,1.0
4000,8117,0.49279290378218554,2.02925,0.99925,3998,3997,0.9997498749374687,4117,0,0.013674699584953487,5,5,strided_read,stride,164000.0,20.204509055069607
4000,16619,0.2406883687345809,4.15475,0.94475,3780,3779,0.9997354497354497,12619,0,0.8658944003982469,5,5,strided_read,nn,164000.0,9.868223118117816
4000,87984,0.04546281142025823,21.996,0.5,0,0,0.0,83984,0,0.014356600819155574,5,5,mixed_read_write,baseline,87984.0,1.0
4000,10062,0.3975352812562115,2.5155,0.9995,1999,1998,0.9994997498749375,6062,0,0.02009610168170184,5,5,mixed_read_write,stride,87984.0,8.744186046511627
4000,16770,0.2385211687537269,4.1925,0.9565,1827,1826,0.9994526546250684,12770,0,1.1964377009426244,5,5,mixed_read_write,nn,87984.0,5.246511627906977
4000,147932,0.027039450558364653,36.983,0.103,0,0,0.0,143932,0,0.010131900198757648,5,5,random_read,baseline,147932.0,1.0
4000,151130,0.026467279825315954,37.7825,0.0825,3729,152,0.04076159828372218,147130,0,0.015099399606697261,5,5,random_read,stride,147932.0,0.9788394097796599
4000,147932,0.027039450558364653,36.983,0.103,7,0,0.0,143932,0,0.6243320010835305,5,5,random_read,nn,147932.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.00349870027275756,5,5,arithmetic_mix,baseline,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.0034894001437351108,5,5,arithmetic_mix,stride,19997.0,1.0
4000,19997,0.2000300045006751,4.99925,0.0,0,0,0.0,0,15997,0.003657901252154261,5,5,arithmetic_mix,nn,19997.0,1.0
4000,27500,0.14545454545454545,6.875,0.875,0,0,0.0,23500,0,0.005729799740947783,6,6,sequential_read,baseline,27500.0,1.0
4000,8039,0.4975743251648215,2.00975,0.99975,500,499,0.998,4039,0,0.00840489857364446,6,6,sequential_read,stride,27500.0,3.420823485508148
4000,8156,0.4904364884747425,2.039,0.999,497,496,0.9979879275653923,4156,0,0.703466099628713,6,6,sequential_read,nn,27500.0,3.3717508582638547
4000,164000,0.024390243902439025,41.0,0.0,0,0,0.0,160000,0,0.006701100617647171,6,6,strided_read,baseline,164000.0,1.0
4000,8117,0.49279290378218554,2.02925,0.99925,3998,3997,0.9997498749374687,4117,0,0.011349400447215885,6,6,strided_read,stride,164000.0,20.204509055069607
4000,23951,0.16700764059955742,5.98775,0.89775,3592,3591,0.9997216035634744,19951,0,0.8281972002005205,6,6,strided_read,nn,164000.0,6.847313264581855
4000,87984,0.04546281142025823,21.996,0.5,0,0,0.0,83984,0,0.00843969959532842,6,6,mixed_read_write,baseline,87984.0,1.0
