run,seed,workload,config,cycles,speedup
0,0,sequential_read,baseline,27500,1.0
0,0,sequential_read,stride,8039,3.420823485508148
0,0,sequential_read,nn,8156,3.3717508582638547
0,0,strided_read,baseline,164000,1.0
0,0,strided_read,stride,8117,20.204509055069607
0,0,strided_read,nn,14006,11.709267456804227
0,0,mixed_read_write,baseline,87984,1.0
0,0,mixed_read_write,stride,10062,8.744186046511627
0,0,mixed_read_write,nn,14352,6.130434782608695
0,0,random_read,baseline,147932,1.0
0,0,random_read,stride,151130,0.9788394097796599
0,0,random_read,nn,147932,1.0
0,0,arithmetic_mix,baseline,19997,1.0
0,0,arithmetic_mix,stride,19997,1.0
0,0,arithmetic_mix,nn,19997,1.0
1,1,sequential_read,baseline,27500,1.0
1,1,sequential_read,stride,8039,3.420823485508148
1,1,sequential_read,nn,8117,3.3879512135025256
1,1,strided_read,baseline,164000,1.0
1,1,strided_read,stride,8117,20.204509055069607
1,1,strided_read,nn,19622,8.357965548873713
1,1,mixed_read_write,baseline,87984,1.0
1,1,mixed_read_write,stride,10062,8.744186046511627
1,1,mixed_read_write,nn,16614,5.295774647887324
1,1,random_read,baseline,147932,1.0
1,1,random_read,stride,151130,0.9788394097796599
1,1,random_read,nn,147932,1.0
1,1,arithmetic_mix,baseline,19997,1.0
1,1,arithmetic_mix,stride,19997,1.0
1,1,arithmetic_mix,nn,19997,1.0
2,2,sequential_read,baseline,27500,1.0
2,2,sequential_read,stride,8039,3.420823485508148
2,2,sequential_read,nn,8234,3.3398105416565462
2,2,strided_read,baseline,164000,1.0
2,2,strided_read,stride,8117,20.204509055069607
2,2,strided_read,nn,21221,7.728193770321851
2,2,mixed_read_write,baseline,87984,1.0
2,2,mixed_read_write,stride,10062,8.744186046511627
2,2,mixed_read_write,nn,19188,4.585365853658536
2,2,random_read,baseline,147932,1.0
2,2,random_read,stride,151130,0.9788394097796599
2,2,random_read,nn,147932,1.0
2,2,arithmetic_mix,baseline,19997,1.0
2,2,arithmetic_mix,stride,19997,1.0
2,2,arithmetic_mix,nn,19997,1.0
3,3,sequential_read,baseline,27500,1.0
3,3,sequential_read,stride,8039,3.420823485508148
3,3,sequential_read,nn,8195,3.3557046979865772
3,3,strided_read,baseline,164000,1.0
3,3,strided_read,stride,8117,20.204509055069607
3,3,strided_read,nn,18764,8.740140694947772
3,3,mixed_read_write,baseline,87984,1.0
3,3,mixed_read_write,stride,10062,8.744186046511627
3,3,mixed_read_write,nn,14547,6.048257372654155
3,3,random_read,baseline,147932,1.0
3,3,random_read,stride,151130,0.9788394097796599
3,3,random_read,nn,147932,1.0
3,3,arithmetic_mix,baseline,19997,1.0
3,3,arithmetic_mix,stride,19997,1.0
3,3,arithmetic_mix,nn,19997,1.0
4,4,sequential_read,baseline,27500,1.0
4,4,sequential_read,stride,8039,3.420823485508148
4,4,sequential_read,nn,8273,3.3240662395745195
4,4,strided_read,baseline,164000,1.0
4,4,strided_read,stride,8117,20.204509055069607
4,4,strided_read,nn,20441,8.023090846827454
4,4,mixed_read_write,baseline,87984,1.0
4,4,mixed_read_write,stride,10062,8.744186046511627
4,4,mixed_read_write,nn,16887,5.210161662817552
4,4,random_read,baseline,147932,1.0
4,4,random_read,stride,151130,0.9788394097796599
4,4,random_read,nn,147932,1.0
4,4,arithmetic_mix,baseline,19997,1.0
4,4,arithmetic_mix,stride,19997,1.0
4,4,arithmetic_mix,nn,19997,1.0
5,5,sequential_read,baseline,27500,1.0
5,5,sequential_read,stride,8039,3.420823485508148
5,5,sequential_read,nn,8234,3.3398105416565462
5,5,strided_read,baseline,164000,1.0
5,5,strided_read,stride,8117,20.204509055069607
5,5,strided_read,nn,16619,9.868223118117816
5,5,mixed_read_write,baseline,87984,1.0
5,5,mixed_read_write,stride,10062,8.744186046511627
5,5,mixed_read_write,nn,16770,5.246511627906977
5,5,random_read,baseline,147932,1.0
5,5,random_read,stride,151130,0.9788394097796599
5,5,random_read,nn,147932,1.0
5,5,arithmetic_mix,baseline,19997,1.0
5,5,arithmetic_mix,stride,19997,1.0
5,5,arithmetic_mix,nn,19997,1.0
6,6,sequential_read,baseline,27500,1.0
6,6,sequential_read,stride,8039,3.420823485508148
6,6,sequential_read,nn,8156,3.3717508582638547
6,6,strided_read,baseline,164000,1.0
6,6,strided_read,stride,8117,20.204509055069607
6,6,strided_read,nn,23951,6.847313264581855
6,6,mixed_read_write,baseline,87984,1.0
6,6,mixed_read_write,stride,10062,8.744186046511627
6,6,mixed_read_write,nn,21294,4.131868131868132
6,6,random_read,baseline,147932,1.0
6,6,random_read,stride,151130,0.9788394097796599
6,6,random_read,nn,147932,1.0
6,6,arithmetic_mix,baseline,19997,1.0
6,6,arithmetic_mix,stride,19997,1.0
6,6,arithmetic_mix,nn,19997,1.0
7,7,sequential_read,baseline,27500,1.0
7,7,sequential_read,stride,8039,3.420823485508148
7,7,sequential_read,nn,8195,3.3557046979865772
7,7,strided_read,baseline,164000,1.0
7,7,strided_read,stride,8117,20.204509055069607
7,7,strided_read,nn,18803,8.722012444822635
7,7,mixed_read_write,baseline,87984,1.0
7,7,mixed_read_write,stride,10062,8.744186046511627
7,7,mixed_read_write,nn,15093,5.829457364341085
7,7,random_read,baseline,147932,1.0
7,7,random_read,stride,151130,0.9788394097796599
7,7,random_read,nn,147932,1.0
7,7,arithmetic_mix,baseline,19997,1.0
7,7,arithmetic_mix,stride,19997,1.0
7,7,arithmetic_mix,nn,19997,1.0
8,8,sequential_read,baseline,27500,1.0
8,8,sequential_read,stride,8039,3.420823485508148
8,8,sequential_read,nn,8156,3.3717508582638547
8,8,strided_read,baseline,164000,1.0
8,8,strided_read,stride,8117,20.204509055069607
8,8,strided_read,nn,16424,9.985387238188018
8,8,mixed_read_write,baseline,87984,1.0
