workload,config,runs,cycles_n,cycles_mean,cycles_std,cycles_ci95,mem_cycles_mean,arith_cycles_mean,hit_rate_mean,hit_rate_std,hit_rate_ci95,ipc_mean,ipc_std,ipc_ci95,prefetch_accuracy_mean,prefetch_accuracy_std,prefetch_accuracy_ci95,speedup_mean,speedup_std,speedup_ci95,speedup_min,speedup_max
arithmetic_mix,baseline,10,10,19997.0,0.0,0.0,0.0,15997.0,0.0,0.0,0.0,0.2000300045006751,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
arithmetic_mix,nn,10,10,19997.0,0.0,0.0,0.0,15997.0,0.0,0.0,0.0,0.2000300045006751,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
arithmetic_mix,stride,10,10,19997.0,0.0,0.0,0.0,15997.0,0.0,0.0,0.0,0.2000300045006751,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
mixed_read_write,baseline,10,10,87984.0,0.0,0.0,83984.0,0.0,0.5,0.0,0.0,0.04546281142025822,7.314236392868128e-18,4.533410683886056e-18,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
mixed_read_write,nn,10,10,16559.4,2224.497156662602,1378.7576220699561,12559.4,0.0,0.95785,0.014259597158093613,0.00883818988506383,0.24513542893110488,0.029848323964073237,0.018500182860751224,0.99945377623401,1.754879234807318e-05,1.0876854185028139e-05,5.391998894768582,0.6565437339137548,0.40693002220508384,4.131868131868132,6.130434782608695
mixed_read_write,stride,10,10,10062.0,0.0,0.0,6062.0,0.0,0.9994999999999999,1.1702778228589004e-16,7.253457094217689e-17,0.3975352812562115,0.0,0.0,0.9994997498749376,1.1702778228589004e-16,7.253457094217689e-17,8.744186046511627,0.0,0.0,8.744186046511627,8.744186046511627
random_read,baseline,10,10,147932.0,0.0,0.0,143932.0,0.0,0.10300000000000001,1.4628472785736255e-17,9.066821367772112e-18,0.027039450558364653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
random_read,nn,10,10,147932.0,0.0,0.0,143932.0,0.0,0.10300000000000001,1.4628472785736255e-17,9.066821367772112e-18,0.027039450558364653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
random_read,stride,10,10,151130.0,0.0,0.0,147130.0,0.0,0.0825,0.0,0.0,0.026467279825315954,0.0,0.0,0.04076159828372218,0.0,0.0,0.97883940977966,1.1702778228589004e-16,7.253457094217689e-17,0.9788394097796599,0.9788394097796599
sequential_read,baseline,10,10,27500.0,0.0,0.0,23500.0,0.0,0.875,0.0,0.0,0.14545454545454545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
sequential_read,nn,10,10,8198.9,53.44249245684561,33.124,4198.9,0.0,0.9987250000000001,0.0003425800798515709,0.0002123333333333311,0.48788897086151817,0.0031786088073675845,0.0019701221499027815,0.997983450546679,5.573652500792491e-06,3.454585610604352e-06,3.3542366746729373,0.021852935550652056,0.013544589780581569,3.3240662395745195,3.3879512135025256
sequential_read,stride,10,10,8039.0,0.0,0.0,4039.0,0.0,0.99975,0.0,0.0,0.4975743251648215,0.0,0.0,0.9979999999999999,1.1702778228589004e-16,7.253457094217689e-17,3.420823485508148,0.0,0.0,3.420823485508148,3.420823485508148
strided_read,baseline,10,10,164000.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
strided_read,nn,10,10,18795.2,2781.6233389875056,1724.0680074011,14795.2,0.0,0.9308,0.017830918839663486,0.01105171799616089,0.21717528608922945,0.03326353536780925,0.02061695281920142,0.999731397042351,5.160039414352688e-06,3.1982255636567832e-06,8.904186729658408,1.3638049500801792,0.845295065587258,6.847313264581855,11.709267456804227
strided_read,stride,10,10,8117.0,0.0,0.0,4117.0,0.0,0.99925,0.0,0.0,0.49279290378218554,0.0,0.0,0.9997498749374685,2.340555645717801e-16,1.4506914188435379e-16,20.204509055069604,3.744889033148481e-15,2.3211062701496606e-15,20.204509055069607,20.204509055069607
